Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
10-100__BLCK03_0,,,,WW,FMGS,Gumboot Safety Hytest Black 3,EACH,OLIVER,0,0,S,A,U,9320922580307
10-100__BLCK05_0,,,,WW,FMGS,Gumboot Safety Hytest Black 5,EACH,OLIVER,1,1,S,A,U,9320922543319
10-100__BLCK06_0,,,,WW,FMGS,Gumboot Safety Hytest Black 6,EACH,OLIVER,1,1,S,A,U,9320922543326
10-100__BLCK07_0,,,,WW,FMGS,Gumboot Safety Hytest Black 7,EACH,OLIVER,2,2,S,A,U,9320922543333
10-100__BLCK08_0,,,,WW,FMGS,Gumboot Safety Hytest Black 8,EACH,OLIVER,0,0,S,A,U,9320922543340
10-100__BLCK09_0,,,,WW,FMGS,Gumboot Safety Hytest Black 9,EACH,OLIVER,1,1,S,A,U,9320922543357
10-100__BLCK10_0,,,,WW,FMGS,Gumboot Safety Hytest Black 10,EACH,OLIVER,2,2,S,A,U,9320922543364
10-100__BLCK11_0,,,,WW,FMGS,Gumboot Safety Hytest Black 11,EACH,OLIVER,2,2,S,A,U,9320922543371
10-100__BLCK12_0,,,,WW,FMGS,Gumboot Safety Hytest Black 12,EACH,OLIVER,2,2,S,A,U,9320922543388
10-100__BLCK13_0,,,,WW,FMGS,Gumboot Safety Hytest Black 13,EACH,OLIVER,1,1,S,A,U,9320922580321
10-306__BLCK0008,,,,PP,PGYO,Gloves Hexarmour NXT Black 8,EACH,HEXARMOR,0,0,S,A,U,
1000,,,,WP,WARD,Laerdal Heartstart First Aid Defib Unit With Case M5067A,EACH,LAERDAL,0,0,S,O,,
100074__BLCK000L,,,,WW,CMUO,Sweat Midweight Logo Black Large,EACH,CARHARTT,2,2,S,A,U,035481973086
100074__BLCK000M,,,,WW,CMUO,Sweat Midweight Logo Black Medium,EACH,CARHARTT,3,3,S,A,U,035481973079
100074__BLCK000S,,,,WW,CMUO,Sweat Midweight Logo Black Small,EACH,CARHARTT,1,1,S,A,U,035481973062
100074__BLCK00XL,,,,WW,CMUO,Sweat Midweight Logo Black XL,EACH,CARHARTT,2,2,S,A,U,035481973093
100074__BLCK00XS,,,,WW,CMUO,Sweat Midweight Logo Black XS,EACH,CARHARTT,1,1,S,A,U,889192122093
100074__BLCK02XL,,,,WW,CMUO,Sweat Midweight Logo Black 2XL,EACH,CARHARTT,0,0,S,A,U,035481973109
100074__CAHE000L,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather Large,EACH,CARHARTT,2,2,S,A,U,889192801042
100074__CAHE000M,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather Medium,EACH,CARHARTT,3,3,S,A,U,889192801073
100074__CAHE000S,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather Small,EACH,CARHARTT,0,0,S,A,U,889192801103
100074__CAHE00XL,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather XL,EACH,CARHARTT,0,0,S,A,U,889192801134
100074__CAHE00XS,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather XS,EACH,CARHARTT,0,0,S,A,U,889192801165
100074__CAHE02XL,,,,WW,CMUO,Sweat Midweight Logo Carbon Heather 2XL,EACH,CARHARTT,2,2,S,A,U,889192801011
100074__HEGR000L,,,,WW,CMUO,Sweat Midweight Logo Heather Grey Large,EACH,CARHARTT,3,3,S,A,U,192776084466
100074__HEGR000M,,,,WW,CMUO,Sweat Midweight Logo Heather Grey Medium,EACH,CARHARTT,3,3,S,A,U,
100074__HEGR000S,,,,WW,CMUO,Sweat Midweight Logo Heather Grey Small,EACH,CARHARTT,1,1,S,A,U,192776084527
100074__HEGR00XL,,,,WW,CMUO,Sweat Midweight Logo Heather Grey XL,EACH,CARHARTT,2,2,S,A,U,192776084558
100074__HEGR00XS,,,,WW,CMUO,Sweat Midweight Logo Heather Grey XS,EACH,CARHARTT,1,1,S,A,U,192776084589
