Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
20,,,,,ZDEL,Avercast,EACH,,0,0,S,O,,
20-320P_,,,,WW,FMES,Boot Safe E/Sided Steelflex HS,EACH,OLIVER,0,0,Z,O,U,
20-320P_BLCK04_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 4,EACH,OLIVER,0,0,S,O,U,9320922548413
20-320P_BLCK05_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 5,EACH,OLIVER,0,0,S,O,U,9320922548420
20-320P_BLCK06_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 6,EACH,OLIVER,0,0,S,O,U,9320922548437
20-320P_BLCK06_5,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 6.5,EACH,OLIVER,0,0,S,O,U,9320922548444
20-320P_BLCK07_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 7,EACH,OLIVER,0,0,S,O,U,9320922548451
20-320P_BLCK07_5,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 7.5,EACH,OLIVER,0,0,S,O,U,9320922548468
20-320P_BLCK08_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 8,EACH,OLIVER,0,0,S,O,U,9320922548475
20-320P_BLCK08_5,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 8.5,EACH,OLIVER,0,0,S,O,U,9320922548482
20-320P_BLCK09_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 9,EACH,OLIVER,0,0,S,O,U,9320922548499
20-320P_BLCK09_5,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 9.5,EACH,OLIVER,0,0,S,O,U,9320922548505
20-320P_BLCK10_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 10,EACH,OLIVER,0,0,S,O,U,9320922548512
20-320P_BLCK10_5,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 10.5,EACH,OLIVER,0,0,S,O,U,9320922548529
20-320P_BLCK11_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 11,EACH,OLIVER,0,0,S,O,U,9320922548536
20-320P_BLCK12_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 12,EACH,OLIVER,0,0,S,O,U,9320922548543
20-320P_BLCK13_0,,,,WW,FMES,Boot Safe E/Sided Steelflex HS Black 13,EACH,OLIVER,0,0,S,O,U,9320922548550
20-320__,,,,WW,FMES,Boot Safety Elastic Sided HS,EACH,OLIVER,0,0,Z,O,U,
20-320__BLCK04_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 4,EACH,OLIVER,0,0,S,O,U,9320922546013
20-320__BLCK05_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 5,EACH,OLIVER,0,0,S,O,U,9320922546020
20-320__BLCK06_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 6,EACH,OLIVER,0,0,S,O,U,9320922546037
20-320__BLCK06_5,,,,WW,FMES,Boot Safety Elastic Sided HS Black 6.5,EACH,OLIVER,0,0,S,O,U,9320922546044
20-320__BLCK07_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 7,EACH,OLIVER,0,0,S,O,U,9320922546051
20-320__BLCK07_5,,,,WW,FMES,Boot Safety Elastic Sided HS Black 7.5,EACH,OLIVER,0,0,S,O,U,9320922546068
20-320__BLCK08_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 8,EACH,OLIVER,0,0,S,O,U,9320922546075
20-320__BLCK08_5,,,,WW,FMES,Boot Safety Elastic Sided HS Black 8.5,EACH,OLIVER,0,0,S,O,U,9320922546082
20-320__BLCK09_0,,,,WW,FMES,Boot Safety Elastic Sided HS Black 9,EACH,OLIVER,0,0,S,O,U,9320922546099
20-320__BLCK09_5,,,,WW,FMES,Boot Safety Elastic Sided HS Black 9.5,EACH,OLIVER,0,0,S,O,U,9320922546105
