Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
70-207__,,,,PP,PGKK,Glove Goldknit U/Light KvlrCt3,EACH,ANSELL,0,0,Z,O,U,,0,0,0,0
70-207__GOLD0008,,,,PP,PGKK,Glove Goldknit U/Light KvlrCt3 Gold 8,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
70-207__GOLD0009,,,,PP,PGKK,Glove Goldknit U/Light KvlrCt3 Gold 9,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
70-207__GOLD0010,,,,PP,PGKK,Glove Goldknit U/Light KvlrCt3 Gold 10,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
70-225__,,,,PP,PGKK,Glove GoldKnit Max 100% Kevlar,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
70-225__GOLD0007,,,,PP,PGKK,Glove GoldKnit Max 100% Kevlar Gold 7,EACH,ANSELL,22,22,S,A,U,,0,22,0,0
70-225__GOLD0008,,,,PP,PGKK,Glove GoldKnit Max 100% Kevlar Gold 8,EACH,ANSELL,6,6,S,A,U,,0,6,0,0
70-225__GOLD0009,,,,PP,PGKK,Glove GoldKnit Max 100% Kevlar Gold 9,EACH,ANSELL,12,12,S,A,U,,0,12,0,0
70-225__GOLD0010,,,,PP,PGKK,Glove GoldKnit Max 100% Kevlar Gold 10,EACH,ANSELL,0,0,S,T,U,,12,0,0,0
70-282__,,,,PP,PGKO,Glove Kevlar Lth Palm The Bull,EACH,ANSELL,0,0,Z,T,U,,0,0,0,0
70-282__GOLD0007,,,,PP,PGKO,Glove Kevlar Lth Palm The Bull Gold 7,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
70-282__GOLD0009,,,,PP,PGKO,Glove Kevlar Lth Palm The Bull Gold 9,EACH,ANSELL,7,7,S,T,U,,0,7,0,0
70-282__GOLD0010,,,,PP,PGKO,Glove Kevlar Lth Palm The Bull Gold 10,EACH,ANSELL,4,4,S,T,U,,0,4,0,0
70-340__,,,,PP,PGKK,*NLA* Glove Goldknit DT Max,EACH,ANSELL,0,0,Z,O,U,,0,0,0,0
70-340__GOLD0008,,,,PP,PGKK,*NLA* Glove Goldknit DT Max Gold 8,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
70-340__GOLD0009,,,,PP,PGKK,*NLA* Glove Goldknit DT Max Gold 9,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
70-342__,,,,PP,PGKK,*NLA* Glove GoldKnit DT Max,EACH,ANSELL,0,0,Z,O,U,,0,0,0,0
