Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
1000173,,,,AM,AAEZ,Tuapeka Gold Print Retractable 3-in-1 Charging Cable,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
1000180,,,,AM,AAEZ,Tupeka Gold Volt Charging Cable 120212,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
1000606,,,,AM,AAMZ,Adapt A Lift Forklift Pre-Start Check List Book 48p Battery/Electric,EACH,ADALIF,0,0,S,A,,,0,0,0,0
1000607,,,,AM,AAMZ,Adapt A Lift Forklift Pre-Start Check List Book 48p Petrol/LPG/Diesel,EACH,ADALIF,0,0,S,A,,,0,0,0,0
10447594,,,,AM,AASZ,Uniform Safety Pty Ltd Forklift lane  Only No Pedestr 450 x 300,EACH,UNISAFE,0,0,S,A,,,0,0,0,0
10447595,,,,AM,AASZ,Uniform Safety Custom Sign 176635/1,EACH,UNISAFE,0,0,S,A,,,0,0,0,0
10447597,,,,AM,AASZ,Uniform Safety Stop No Entry Into Workshop St 837LM,EACH,UNISAFE,0,0,S,A,,,0,0,0,0
104559,,,,AM,AASZ,Tee Print & Embroidery HARD HAT STICKERS - WORLEY LAR WORLEY120x60,EACH,BANPRO,0,0,S,A,,,0,0,0,0
104560,,,,AM,AASZ,Tee Print & Embroidery HARD HAT STICKERS - WORLEY WORLEY 80x22,EACH,BANPRO,0,0,S,A,,,0,0,0,0
105058,,,,AM,AAMZ,Brady Australia Zip1195 Jan - Mar Red/White 175mm Eto Tags/Permits,EACH,BRADY,0,-1,S,A,,,1,-1,0,0
105059,,,,AM,AAMZ,Brady Australia Zip1196 Apr - Jun Green/White 175mm Eto Tags/Permits,EACH,BRADY,0,-1,S,A,,,1,-1,0,0
105060,,,,AM,AAMZ,Brady Australia Zip1197 Jul - Sep Blue/White 175mm Eto Tags/Permits,EACH,BRADY,0,-1,S,A,,,1,-1,0,0
105061,,,,AM,AAMZ,Brady Australia Zip1198 Oct - Dec Yellow/Blck 175mm Eto Tags/Permits,EACH,BRADY,0,-1,S,A,,,1,-1,0,0
105062,,,,AM,AAMZ,Brady Australia Zip1195 Jan - Mar Red/White 300mm Eto Tags/Permits,EACH,BRADY,0,0,S,A,,,0,0,0,0
105063,,,,AM,AAMZ,Brady Australia Zip1196 Apr - Jun Green/White 300mm Eto Tags/Permits,EACH,BRADY,0,0,S,A,,,0,0,0,0
105064,,,,AM,AAMZ,Brady Australia Zip1197 Jul - Sep Blue/White 300mm,EACH,BRADY,0,0,S,A,,,0,0,0,0
106005,,,,AM,AA4S,Opposite Lock Snatch Straps High Load Rated RGSSG 10m,EACH,OPPLOC,0,0,S,O,,,0,0,0,0
106006,,,,AM,AA4S,Opposite Lock Shackle 10 tonne rated 16x19 RGBS,EACH,OPPLOC,0,0,S,O,,,0,0,0,0
1065000,,,,AM,AALW,Spanset 50mm Winch Replacement Strap 9M 12-WC-C20-09WBP C20-09W,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065001,,,,AM,AALR,Spanset Tradesman Ratchet Assembly 6M LC 500kg D1TRADESMANBP,EACH,BLUERAPTA,6,6,S,A,,9315418000094,0,6,0,0
1065002,,,,AM,AALR,Spanset Weekender Ratchet Assembly B1-WEEKENDERBP,EACH,SPANSET,1,1,S,A,,9315418000070,0,1,0,0
1065003,,,,AM,AALW,Spanset Slide Truck Winch Strap 1820C20-09,EACH,SPANSET,0,0,S,O,,,0,0,0,0
