Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
E014BY__,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long",EACH,BRITEC,0,0,Z,A,U,
E014BY__BKYE0007,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long Black Yellow 7",EACH,BRITEC,0,0,S,A,U,
E014BY__BKYE0008,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long Black Yellow 8",EACH,BRITEC,0,0,S,A,U,
E014BY__BKYE0009,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long Black Yellow 9",EACH,BRITEC,0,0,S,A,U,
E014BY__BKYE0010,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long Black Yellow 10",EACH,BRITEC,0,0,S,A,U,
E014BY__BKYE0011,,,,PP,PGLO,"Glove LV Cl. 0 14"" Long Black Yellow 11",EACH,BRITEC,0,0,S,A,U,
E014R___,,,,PP,PGYI,LV Electrical Glove CL0 1000V,EACH,BRITEC,0,0,Z,A,U,
E014R___RED_0008,,,,PP,PGYI,LV Electrical Glove CL0 1000V Red 8,EACH,BRITEC,0,0,S,A,U,
E014R___RED_0009,,,,PP,PGYI,LV Electrical Glove CL0 1000V Red Size 9,EACH,BRITEC,0,0,S,A,U,
E014R___RED_0010,,,,PP,PGYI,LV Electrical Glove CL0 1000V Red Size 10,EACH,BRITEC,0,0,S,A,U,
E014R___RED_0011,,,,PP,PGYI,LV Electrical Glove CL0 1000V Red 11,EACH,BRITEC,0,0,S,A,U,
E10-6P__,,,,PP,PGYO,Eureka Xtreme Needle Stick,EACH,PIP,0,0,Z,A,U,
E10-6P__LTGR000L,,,,PP,PGYO,Eureka Xtreme Needle Stick Resistant Light Green Large,EACH,PIP,0,0,S,T,U,7340022588678
E10-6P__LTGR000M,,,,PP,PGYO,Eureka Xtreme Needle Stick Resistant Light Green Medium,EACH,PIP,0,0,S,A,U,7340022588661
E10-6P__LTGR000S,,,,PP,PGYO,Eureka Xtreme Needle Stick Resistant Light Green Small,EACH,PIP,0,0,S,A,U,7340022588654
E10-6P__LTGR00XL,,,,PP,PGYO,Eureka Xtreme Needle Stick Resistant Light Green XL,EACH,PIP,6,6,S,A,U,7340022588685
E10-6P__LTGR02XL,,,,PP,PGYO,Eureka Xtreme Needle Stick Resistant Light Green 2XL,EACH,PIP,0,0,S,A,U,
E1000360,,,,PP,PGYI,Glove Insulated 1000V 360mm,EACH,DECO,0,0,Z,,U,
E1000360ORGE0008,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 8,EACH,DECO,0,0,S,A,U,
E1000360ORGE0009,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 9,EACH,DECO,0,0,S,A,U,
E1000360ORGE0010,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 10,EACH,DECO,0,0,S,A,U,
E1000360ORGE0011,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 11,EACH,DECO,0,0,S,A,U,
E1000360ORGE08_5,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 8.5,EACH,DECO,15,15,S,A,U,
E1000360ORGE09_5,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 9.5,EACH,DECO,15,15,S,A,U,
E1000360ORGE10_5,,,,PP,PGYI,Glove Insulated 1000V 360mm Orange 10.5,EACH,DECO,0,0,S,A,U,
E1000430,,,,PP,PGYI,Glove Insulated 1000V 430mm,EACH,DECO,0,0,Z,,U,
E1000430ORGE0009,,,,PP,PGYI,Glove Insulated 1000V 430mm Orange 9,EACH,DECO,0,0,S,A,U,
E1000430ORGE0010,,,,PP,PGYI,Glove Insulated 1000V 430mm Orange 10,EACH,DECO,0,0,S,A,U,
E1000430ORGE0011,,,,PP,PGYI,Glove Insulated 1000V 430mm Orange 11,EACH,DECO,0,0,S,A,U,
E1000837,,,,PH,PHHB,Belt Miner Batt Pack HiVis,EACH,SALA,0,0,Z,,U,
E1000837YENY000L,,,,PH,PHHB,Belt Miner Batt Pack HiVis Yellow Navy Large,EACH,SALA,0,0,S,O,U,
E1000837YENY000M,,,,PH,PHHB,Belt Miner Batt Pack HiVis Yellow Navy Medium,EACH,SALA,0,0,S,O,U,
E1000837YENY000S,,,,PH,PHHB,Belt Miner Batt Pack HiVis Yellow Navy Small,EACH,SALA,0,0,S,O,U,
E1000837YENY00XL,,,,PH,PHHB,Belt Miner Batt Pack HiVis Yellow Navy XL,EACH,SALA,0,0,S,O,U,
E1000V3_,,,,PP,PGSO,Elect Glove 1000V 360mm,EACH,HONEYWELL,0,0,Z,T,U,
E1000V3_WHTE000L,,,,PP,PGSO,Elect Glove 1000V 360mm White Large,EACH,HONEYWELL,1,1,S,T,U,
E1000V3_WHTE000M,,,,PP,PGSO,Elect Glove 1000V 360mm White Medium,EACH,HONEYWELL,0,0,S,T,U,
E1000V3_WHTE00XL,,,,PP,PGSO,Elect Glove 1000V 360mm White XL,EACH,HONEYWELL,25,25,S,T,U,
E1000V3_WHTE02XL,,,,PP,PGSO,Elect Glove 1000V 360mm White 2XL,EACH,HONEYWELL,10,10,S,T,U,
E1000V4_,,,,PP,PGSO,Elect Glove 1000V 410mm,EACH,HONEYWELL,0,0,Z,T,U,
