Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
HF-800SD,,,,PP,PRMH,Respirator Secure Click,EACH,3MAUST,0,0,Z,A,U,
HF-800SDHALF000L,,,,PP,PRMH,Respirator Secure Click Half Face Speaking Diaphragm HF-803SD Large,EACH,3MAUST,0,-2,S,A,U,
HF-800SDHALF000M,,,,PP,PRMH,Respirator Secure Click Half Face Speaking Diaphragm HF-802SD Medium,EACH,3MAUST,1,1,S,A,U,
HF-800SDHALF000S,,,,PP,PRMH,Respirator Secure Click Half Face Speaking Diaphragm HF-801SD Small,EACH,3MAUST,0,0,S,A,U,
HF1101__,,,,WW,CMTD,Stretch Twill Cuffed Pants,EACH,HMRFLD,0,0,Z,C,U,HF1101
HF1101__BLCK077R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 77 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215602
HF1101__BLCK082R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 82 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215626
HF1101__BLCK087R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 87 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215640
HF1101__BLCK092R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 92 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215664
HF1101__BLCK097R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 97 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215688
HF1101__BLCK102R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 102 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215701
HF1101__BLCK107R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 107 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215725
HF1101__BLCK112R,,,,WW,CMTD,Stretch Twill Cuffed Pants Black 112 Regular,EACH,HMRFLD,0,0,S,I,U,9336179215749
HF1101__MIDN072R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 72 Regular / 28 Inch,EACH,HMRFLD,0,0,S,I,U,9336179158367
HF1101__MIDN077R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 77 Regular / 30 Inch,EACH,HMRFLD,197,195,S,C,U,9336179158381
HF1101__MIDN082R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 82 Regular / 32 Inch,EACH,HMRFLD,246,244,S,C,U,9336179158404
HF1101__MIDN087R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 87 Regular / 34 Inch,EACH,HMRFLD,297,292,S,C,U,9336179158428
HF1101__MIDN092R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 92 Regular / 36 Inch,EACH,HMRFLD,352,349,S,C,U,9336179158442
HF1101__MIDN097R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 97 Regular / 38 Inch,EACH,HMRFLD,307,304,S,C,U,9336179158466
HF1101__MIDN102R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 102 Regular / 40 Inch,EACH,HMRFLD,175,172,S,C,U,9336179158480
HF1101__MIDN107R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 107 Regular / 42 Inch,EACH,HMRFLD,107,106,S,C,U,9336179158503
HF1101__MIDN112R,,,,WW,CMTD,Stretch Twill Cuffed Pants Midnight 112 Regular / 44 Inch,EACH,HMRFLD,104,102,S,C,U,9336179158527
HF1101__NAVY072R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 72 Regular / 28 Inch,EACH,HMRFLD,2,2,S,I,U,9336179158541
HF1101__NAVY077R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 77 Regular / 30 Inch,EACH,HMRFLD,140,139,S,C,U,9336179158565
HF1101__NAVY082R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 82 Regular / 32 Inch,EACH,HMRFLD,396,392,S,C,U,9336179158589
HF1101__NAVY087R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 87 Regular / 34 Inch,EACH,HMRFLD,354,350,S,C,U,9336179158602
HF1101__NAVY092R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 92 Regular / 36 Inch,EACH,HMRFLD,398,395,S,C,U,9336179158626
HF1101__NAVY097R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 97 Regular / 38 Inch,EACH,HMRFLD,295,292,S,C,U,9336179158640
HF1101__NAVY102R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 102 Regular / 40 Inch,EACH,HMRFLD,160,158,S,C,U,9336179158664
HF1101__NAVY107R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 107 Regular / 42 Inch,EACH,HMRFLD,92,91,S,C,U,9336179158688
HF1101__NAVY112R,,,,WW,CMTD,Stretch Twill Cuffed Pants Navy 112 Regular / 44 Inch,EACH,HMRFLD,96,95,S,C,U,9336179158701
HF1101__PEER072R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 72 Regular / 28 Inch,EACH,HMRFLD,0,0,S,I,U,9336179158725
HF1101__PEER077R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 77 Regular / 30 Inch,EACH,HMRFLD,62,60,S,C,U,9336179158749
HF1101__PEER082R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 82 Regular / 32 Inch,EACH,HMRFLD,157,154,S,C,U,9336179158763
HF1101__PEER087R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 87 Regular / 34 Inch,EACH,HMRFLD,153,150,S,C,U,9336179158787
HF1101__PEER092R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 92 Regular / 36 Inch,EACH,HMRFLD,226,223,S,C,U,9336179158800
HF1101__PEER097R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 97 Regular / 38 Inch,EACH,HMRFLD,262,260,S,C,U,9336179158824
HF1101__PEER102R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 102 Regular / 40 Inch,EACH,HMRFLD,139,136,S,C,U,9336179158848
HF1101__PEER107R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 107 Regular / 42 Inch,EACH,HMRFLD,64,63,S,C,U,9336179158862
HF1101__PEER112R,,,,WW,CMTD,Stretch Twill Cuffed Pants Pewter 112 Regular / 44 Inch,EACH,HMRFLD,65,65,S,C,U,9336179158886
HF1101__TAN_072R,,,,WW,CMTD,Stretch Twill Cuffed Pants Tan 72 Regular / 28 Inch,EACH,HMRFLD,0,0,S,I,U,9336179158909
