Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
1000182,,,,HW,HTMG,Tupeka Gold CSR AFS Tape Measure 5m 100911 100911,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
10006602,,,,HW,HLOZ,Ferno Australia Ladder Stabliser  HS-LS25G TYPE 2,EACH,FERNO,0,0,S,A,,,0,0,0,0
100170,,,,HW,HTSC,Vision Safe Single Cyclinder Kit Medium BG1M,EACH,VISIONSAFE,0,0,S,A,,,0,0,0,0
1005000,,,,HW,HEES,Landy Trisafe Electrical Lead Stand TS1 Yellow,EACH,LANDY,0,0,S,A,,,0,0,0,0
1005001,,,,HW,HEES,Landy Trisafe Electrical Lead Hooks Bag of 10 - TS5,EACH,LANDY,0,0,S,O,,,0,0,0,0
100520,,,,HW,HEKA,MAYHAR Traffolite Non Adhesive Engrav MAYHAR,EACH,MAYHAR,0,0,S,A,,,0,0,0,0
100600,,,,HW,HTTO,Tesa Tape Double Sided Foam Tape 5mx19mm White 4952,EACH,TESTAP,74,74,S,A,,4042448016928,0,74,0,0
100601,,,,HW,HTTO,Tesa Tape On & Off Reusable  Tape 2.5mx20mm Black 55225,EACH,TESTAP,81,81,S,A,,4042448859402,0,81,0,0
100602,,,,HW,HTTO,Tesa Tape Silicone Self Fusing tape 3mx25mm Black 4600,EACH,TESTAP,50,50,S,A,,4042448188977,0,50,0,0
100603,,,,HW,HTTO,Tesa Tape Cloth Gaffa tape 50mx48mm Black 4613,EACH,TESTAP,8,8,S,A,,4042448393395,0,8,0,0
100604,,,,HW,HTTO,Tesa Tape Masking tape 50mx48mm Cream 4348,EACH,TESTAP,38,38,S,A,,4042448280718,0,38,0,0
100605,,,,HW,HTTO,Tesa Tape PVC Electrical tape 20mx19mm Black pk 10 60804,EACH,TESTAP,34,34,S,A,,9316824008049,0,34,0,0
10124286,,,,HW,HEEL,MSA GXT Spair Part Power Cord 10124286,EACH,MSA,0,0,S,T,,,0,0,0,0
1047752,,,,HW,HEES,Uniform Safety Signs Lead Stand Yellow LHK25,EACH,UNIFSAFE,0,0,S,A,,,0,0,0,0
1048780,,,,HW,HETG,Brady Australia GODFATHER TORCH PERSONAL ALARM 130DB-9V,EACH,BRADY,0,0,S,A,,,0,0,0,0
104915,,,,HW,HECZ,Brady Australia Brady Safe Flex Lo W/ 10Ft Nylon Cable,EACH,BRADY,0,0,S,T,,,0,0,0,0
104915Z,,,,HW,HECZ,Brady Australia Brady Safe Flex Lo W/ 10Ft Nylon Cable Alstom,EACH,BRADY,0,0,S,A,,,0,0,0,0
104916,,,,HW,HECZ,Brady Australia Brady Safe Flex L/ Ow/ 15Ft Sheathed Steel Cable,EACH,BRADY,0,0,S,A,,,0,0,0,0
104916Z,,,,HW,HECZ,Brady Australia Brady Safe Flex L/ Ow/ 15Ft Sheathed Steel Cable Alstom,EACH,BRADY,0,0,S,A,,,0,0,0,0
104917,,,,HW,HECZ,Brady Australia Brady Safe Flex Lo W/ 10Ft Sheathed Steel Cable,EACH,BRADY,0,0,S,A,,,0,0,0,0
104917Z,,,,HW,HECZ,Brady Australia Brady Safe Flex Lo W/ 10Ft Sheathed Steel Cable Alstom,EACH,BRADY,0,0,S,A,,,0,0,0,0
106000,,,,HW,HEIZ,Thermometer Infrared Thermatwim Type K 0-500C White,EACH,ONETEM,0,0,S,O,,410810450556,0,0,0,0
106001,,,,HW,HEIZ,Thermometer Infrared Thermatwin Type K 0-760C Blue,EACH,ONETEM,0,0,S,O,,,0,0,0,0
106002,,,,HW,HEIZ,OneTemp Thermometer Digital Single TFC-305P,EACH,ONETEM,0,0,S,O,,,0,0,0,0
106007,,,,HW,HEIZ,OneTemp Surface Probe LTH 160mm x Tip 15mm HH-SLT,EACH,ONETEM,0,0,S,O,,,0,0,0,0
1065181,,,,HW,HLOZ,***NLA *** Spanset Bracket Ladder LBB01,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065915,,,,HW,HTSO,Spanset Spanset Gas Cylinder Lifter / Sling G-Size,EACH,SPANSET,0,0,S,A,,,0,0,0,0
1066094,,,,HW,HLMZ,Spanset 18 Inch Mast Extension for IN2003 XTIN2109,EACH,SPANSET,0,0,S,A,,,0,0,0,0
1068157,,,,HW,HETA,Skylotec Headtorch To Suit Inceptor Safety Helmet,EACH,SKYLOTEC,0,0,S,A,,,0,0,0,0
1068166,,,,HW,HLOZ,Skylotec Ladder Bracket Restraint Strap,EACH,SKYLOTEC,0,0,S,A,,,0,0,0,0
1085021,,,,HW,HECZ,Rays Cable Ties,EACH,RAY,0,0,S,O,,,0,0,0,0
1085078,,,,HW,HEES,Jaybro Civil & Safety Adjustable Metal Electrical Lead Stand,EACH,JAYBRO,0,0,S,A,,,0,0,0,0
1088000,,,,HW,HECO,Jenoptik Traffic Solutions Radar Speed Display GR33S,EACH,JENBOBBIN,0,0,S,O,,,0,0,0,0
1088001,,,,HW,HECO,Jenoptik Traffic Solutions Variable Pole Clamp VG2,EACH,JENBOBBIN,0,0,S,O,,,0,0,0,0
1088002,,,,HW,HEBS,Jenoptik Traffic Solutions Battery Power Charge Gel 12V 21AH PCG1221,EACH,JENBOBBIN,0,0,S,O,,,0,0,0,0
1088003,,,,HW,HEBH,Jenoptik Traffic Solutions Battery Charger 12V1A RE121A,EACH,JENBOBBIN,0,0,S,O,,,0,0,0,0
1090800,,,,HW,HEHL,Low Voltage Headlamp Light2 LED W'6 LED's Black LVH1,EACH,LOWVOLTAGE,0,0,S,O,,9342828087957,0,0,0,0
1090821,,,,HW,HTHO,Pryme Australia Squids 3705 Wire Tool Ergodyne 6 Pack Orange,EACH,PRYME,0,0,S,A,,,0,0,0,0
1090822,,,,HW,HTHO,Pryme Australia Squids 3103 Accessory Kit Detachable Loops 3 Pack Black,EACH,PRYME,0,0,S,A,,,0,0,0,0
1096095,,,,HW,HTMG,Diplomat Blades Tape Measure 3m w Rubber Grip T316M,EACH,DIPLOMAT,0,0,S,A,,,0,0,0,0
1096097,,,,HW,HEGL,Zen Imports H7R Rechargable Headlamp ZENIMP,EACH,ZENHOL,0,0,S,A,,4058205021029,0,0,0,0
1096098,,,,HW,HEHO,Zen Imports H7R Rechargeable Headlamp Core,EACH,ZENHOL,0,0,S,A,,,0,0,0,0
1096099,,,,HW,HETS,Zen Imports ZL502188 LED Ledlenser P18R Work Rechargeable,EACH,ZENHOL,0,0,S,A,,,0,0,0,0
1097048,,,,HW,HTHO,ENVIND Anti-Static Shovel 0,EACH,ENVIND,0,0,S,A,,,0,0,0,0
1097500,,,,HW,HTHO,Total Survey Systems Height Stick 6m Frm Base SK202/6MT,EACH,TOTSUR,0,0,S,O,,,0,0,0,0
1097501,,,,HW,HTHO,Total Survey Systems Height Stick 8m Frm Base Yellow SK202/8MT,EACH,TOTSUR,0,0,S,O,,,0,0,0,0
1097671,,,,HW,HTSO,Priority Supplies Gas Cylinder Store-Dual Sided Small AG04D,EACH,PRISUP,0,0,S,A,,,0,0,0,0
1097672,,,,HW,HTSD,Priority Supplies Storemasta Polyesthylene 4 Drum Bund 230x1280x1280,EACH,PRISUP,0,0,S,A,,,0,0,0,0
1110052,,,,HW,HTSO,FSP Australia Locker OZ LOKA 4 Door Door 200mm OL-550,EACH,FSP,0,0,S,O,,,0,0,0,0
1110053,,,,HW,HTSO,FSP Australia Spring Mount Flexible SFSFM,EACH,FSP,0,0,S,O,,,0,0,0,0
1110080,,,,HW,HTSO,FSP Australia Locker FSP OZLOKA1800 Single door Locker,EACH,FSP,0,0,S,A,,,0,0,0,0
1130359,,,,HW,HEPA,3M GVP Bayonet Adapter 78812417836,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1141123,,,,HW,HEHL,Skylotec High Light Headlamp ACS-0273,EACH,SKYLOTEC,7,7,S,T,,4030281269977,0,7,0,0
1141274,,,,HW,HTHO,SKYAUS Milan Power Drill Kit,EACH,SKYLOTEC,0,0,S,A,,,0,0,0,0
1141295,,,,HW,HTHO,SKYAUS CT PLATE KIT 12 4K15412 Screw  bolt acciaio inox AISI 316 L,EACH,SKYLOTEC,20,-20,S,A,,,0,-20,0,0
114385,,,,HW,HEB2,SEA Sundstrom Clip Spring And Pin For Sr500 Batteries,EACH,SAFEQU,0,0,S,A,,,0,0,0,0
1165021,,,,HW,HTRZ,***NLA Rope White for Life Buoy 1m  MCOR15,EACH,RFDAUS,0,0,S,O,,,0,0,0,0
1170091,,,,HW,HEES,Cord Cover For Electrical Leads Black 1M x 100mm PMCC01BK,EACH,MATWORLD,0,0,S,T,,,0,0,0,0
1170092,,,,HW,HEES,Cord Cover For Electrical Leads Black 10M x 100mm PMCC10BK,EACH,PALLMALL,0,0,S,O,,,0,0,0,0
1170136,,,,HW,HEES,***NLA*** Cord Cover For Electrical Leads Black 1mx140mm PMCCR01,EACH,PALLMALL,0,0,S,O,,,0,0,0,0
1198004,,,,HW,HEES,Accumax Global Lead Stand MaxSafe Poly Base 1.2m-2.4m Yellow MAX-LSPB,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
1198020,,,,HW,HLMZ,Accumax Ladder Platform 5 Step 1400mm RS1400,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
1198021,,,,HW,HLMZ,Accumax Ladder Platform 6 Step 1700mm RS1700,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
1198048,,,,HW,HTSD,Accumax Global Polyethylene 4 Drum Bund 1290 x 1290 x 250mm,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
120123,,,,HW,HEB3,Perfect Image Red Alkaline Betteries 12x4Pk / 48 pcs PII BAT AAA,EACH,PERFIMAGE,0,0,S,A,,,0,0,0,0
1218000,,,,HW,HLOZ, Ladder Safe Ladder Anchor,EACH,LADDSAFE,0,0,S,O,,9329015000012,0,0,0,0
1228004,,,,HW,HEES,Lead Hook Electrical Lead Hook S Hook Yellow 82-LHOR,EACH,JAYBRO,0,0,S,A,,,0,0,0,0
1228014,,,,HW,HECZ,Cable Ties Cable Ties 200mm Pack 500 26-CTIE,EACH,JAYBRO,0,0,S,O,,,0,0,0,0
1229086,,,,HW,HTHO,Ferno Australia Safe Spring Hook EB-STL,EACH,FERNO,0,0,S,O,,,0,0,0,0
1229104,,,,HW,HLOZ,Ferno Australia Ladder Gutter Bracket LADlok FWELL,EACH,FERNO,0,0,S,O,,,0,0,0,0
1229105,,,,HW,HLOZ,Ferno Australia Temporary Anchor EDGELok FWEELE,EACH,FERNO,0,0,S,A,,,0,0,0,0
1229106,,,,HW,HLOZ,Ferno Australia Temporary Anchor EDGELok Cladding Insert FWEELE-LEX,EACH,FERNO,0,0,S,A,,,0,0,0,0
1239600,,,,HW,HTMO,Allied Instrumentation Measuring Wheel Meter Man Series 60  MM60,EACH,ALLINP,0,0,S,O,,,0,0,0,0
1245074,,,,HW,HEES,Accumax Global MAXSafe Lead Hook - Standard MAX-LHSTD,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
1245075,,,,HW,HEES,Accumax Global MAXSafe Lead Stand - Metal Bas 1.2-2.4m High MAX-LSMB,EACH,ACCUMAX,0,0,S,A,,,0,0,0,0
1278003,,,,HW,HEHL,Vision Safe Phoenix Rechargeable Headlamp LED HLR3W,EACH,VISIONSAFE,13,13,S,A,,9341556011616,0,13,0,0
14000,,,,HW,HECZ,Australian Sales and Trade Cable Ties Clear 203x4.6 Pack 100 CT1905,EACH,AUSSAL,0,0,S,O,,,0,0,0,0
14002,,,,HW,HECZ,Australian Sales Cable Ties Pack 100 CT200MB,EACH,AUSSAL,0,0,S,O,,,0,0,0,0
150003,,,,HW,HEES,Brenniston Electrical Lead Hooks,EACH,BRENNISTON,0,0,S,O,,,0,0,0,0
155002,,,,HW,HEWH,Britax Handilite Fluorescent 12V 10W SW 1704014,EACH,BRITAX,0,0,S,O,,9314728013718,0,0,0,0
155003,,,,HW,HEWH,Britax Handilite Fluorescent 240V 20W SW 1704020,EACH,BRITAX,0,0,S,O,,9314728013701,0,0,0,0
15600,,,,HW,HECR,Uniden Watt UHF Waterproof CB Hand Radio - UH750,EACH,AUDIOXTRA,0,0,S,A,,,0,0,0,0
15601,,,,HW,HECR,Uniden Handheld Radio 2 Watt UH820S,EACH,AUDIOXTRA,0,0,S,A,,,0,0,0,0
15602,,,,HW,HECR,AUDINT Uniden Two-Way Radio (2 pack),EACH,AUDIOXTRA,0,0,S,A,,,0,0,0,0
15603,,,,HW,HECR,Audioxtra UNIDEN 2W UHF H-Held Twin Pack UH820S-2,EACH,AUDIOXTRA,0,0,S,A,,,0,0,0,0
15619,,,,HW,HETG,Audioxtra Uniden 5W Ip55 Uhf H-Held UH755,EACH,AUDIOXTRA,0,0,S,A,,9322402015088,0,0,0,0
15620,,,,HW,HETG,Audioxtra Uniden 5W Uhf H-Held Twin Pack UH755-2DLX,EACH,AUDIOXTRA,0,0,S,A,,9322402015118,0,0,0,0
15621,,,,HW,HETG,Audioxtra Uniden 2W Uhf H-Held Usb Chrge UH820S,EACH,AUDIOXTRA,0,0,S,A,,9322402011691,0,0,0,0
15622,,,,HW,HETG,Audioxtra Uniden 2W Uhf H-Held Tradiespk UH820S-2TP,EACH,AUDIOXTRA,0,0,S,A,,9322402011738,0,0,0,0
15623,,,,HW,HETG,Audioxtra Uniden 5W Uhf Handheld XTRAK50,EACH,AUDIOXTRA,0,0,S,A,,9322402015507,0,0,0,0
15624,,,,HW,HETG,Audioxtra Uniden 5W Bt App Uhf Handheld XTRAK50 PRO,EACH,AUDIOXTRA,0,0,S,A,,9322402015514,0,0,0,0
15625,,,,HW,HETG,Audioxtra Uniden 5W Bt App Uhf Twin Pack XTRAK50-2TP,EACH,AUDIOXTRA,0,0,S,A,,9322402016016,0,0,0,0
15626,,,,HW,HETG,Audioxtra Uniden 5W Uhf Handheld- Orange XTRAK50-O,EACH,AUDIOXTRA,0,0,S,A,,9322402016689,0,0,0,0
15627,,,,HW,HECR,Audioxtra Midland Remote Mic Uhf + Ant EXPLORER PACK,EACH,AUDIOXTRA,0,0,S,A,,8011869203824,0,0,0,0
15628,,,,HW,HETG,Audioxtra Midland Lmr Portable Radio 5W G15,EACH,AUDIOXTRA,0,0,S,A,,9321886012149,0,0,0,0
15629,,,,HW,HETG,Audioxtra Midland 5W Lmr/Uhf Cb Handheld G18,EACH,AUDIOXTRA,0,0,S,A,,9321886013030,0,0,0,0
15630,,,,HW,HETG,Audioxtra Midland G18 5W Tradies  Pack G18-2TP,EACH,AUDIOXTRA,0,0,S,A,,9321886014006,0,0,0,0
15631,,,,HW,HETG,Audioxtra Midland Compact Uhf + Ant MACHINERY PACK,EACH,AUDIOXTRA,0,0,S,A,,8011869203961,0,0,0,0
15632,,,,HW,HETG,Audioxtra Midland 24/12V Volt 5A Reducer PRO24V,EACH,AUDIOXTRA,0,0,S,A,,9321886001679,0,0,0,0
15633,,,,HW,HETG,Audioxtra Midland 3.1Dbi Flexi Ant 330mm PRO30-LITE,EACH,AUDIOXTRA,0,0,S,A,,9321886015003,0,0,0,0
15634,,,,HW,HETG,Audioxtra Midland 5W Cb/Lmr Handheld Uhf PRO5X,EACH,AUDIOXTRA,0,0,S,A,,8011869205446,0,0,0,0
15635,,,,HW,HETG,Audioxtra Midland Pro5x 5W Tradies Pack PRO5X-2TP,EACH,AUDIOXTRA,0,0,S,A,,9321886016017,0,0,0,0
15636,,,,HW,HETG,Audioxtra Midland Pro5x Commercial 4 Pak PRO5X-4,EACH,AUDIOXTRA,0,0,S,A,,9321886016000,0,0,0,0
15637,,,,HW,HETG,Audioxtra Midland Compact Uhf Cb PRO901,EACH,AUDIOXTRA,0,0,S,A,,8011869203954,0,0,0,0
15638,,,,HW,HECR,Audioxtra Midland Remote Mic Lmr/Cb Uhf PRO902,EACH,AUDIOXTRA,0,0,S,A,,8011869203817,0,0,0,0
15639,,,,HW,HETG,Audioxtra Midland 12/24V Anc Compact Uhf PRO911,EACH,AUDIOXTRA,0,0,S,A,,9321886016277,0,0,0,0
15640,,,,HW,HETG,Audioxtra Midland 12/24V Uhf+ Ant & Bkt PRO911KIT,EACH,AUDIOXTRA,0,0,S,A,,9321886016284,0,0,0,0
160058,,,,HW,HTTD,Budget Silver Duct Tape 48mmx30m R418,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160059,,,,HW,HTTP,Budget Transparent Tape 5370-48TR,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160068,,,,HW,HTTO,Budget Tape Polyester Double sided 10mm B789-10mm,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160081,,,,HW,HTTO,Budget Tape Double Sided 12mmx50m DS-41,EACH,RSEA,0,0,S,A,,,0,0,0,0
161005,,,,HW,HTTP,Pakaflex CUSTOM PRINT Tape Pack DECOMMISSIONED Red/ Wht 48mmx66m PTRW48X66DECOM,EACH,PAKAFLEX,11,11,S,A,,,0,11,0,0
161006,,,,HW,HTTP,Pakaflex Print Plate Set Up Fee PRINT PLATE SET UP FEE,EACH,PAKAFLEX,0,0,L,,,,0,0,0,0
161012,,,,HW,HTTD,Budget Packaging Waterproof Cloth Tape B240,EACH,BUDGETPACK,0,0,S,A,,,0,0,0,0
