Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
1041158,,,,KI,KITS,Barrier Security T-top eye nut 10 Pk  BTCEN,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1066128,,,,KI,KITS,Spanset Australia Pty LtD ROOFERS KIT C/W 30MTR ROPE LIN 6001-30-0,EACH,SPANSET,0,0,S,A,,,0,0,0,0
106968,,,,KI,KITS,Skylotec Australia Jackpod rescue/retrieval kit KDSP-001-JPRK,EACH,SKYLOTEC,0,0,S,A,,,0,0,0,0
1097031,,,,KI,KITS,Envirosmart 120LTR Hazchem Blue Spill Kit ES-SK120HAZ,EACH,ENVIND,0,0,S,A,,,0,0,0,0
1097032,,,,KI,KITS,Envirosmart SpillSmart Poly Oil Only Perforated Roll 96cm x 44m,EACH,ENVIND,0,0,S,A,,,0,0,0,0
1097033,,,,KI,KITS,Envirosmart SpillSmart Poly Oil Only Perforated Roll 48cm x 44m,EACH,ENVIND,0,0,S,A,,,0,0,0,0
1097045,,,,KI,KITS,EnviroSmart Industrial SpillSmart Poly Hazchem P Perforated Roll 96.5cm44MTR,EACH,ENVIND,0,0,S,A,,,0,0,0,0
11465,,,,KI,KITS,SEA Sundstrom Sundstrom SR500 fan unit with HD battery belt charge,EACH,SUNDSTROM,1,1,S,A,,,0,1,0,0
11466,,,,KI,KITS,SEA Sundstrom Sundstrom SR500/570 Fan unit complete kit with HD Battery,EACH,SUNDSTROM,0,0,S,A,,,0,0,0,0
171-063_,,,,KI,KITS,Sundstrom Premium Kit,EACH,SUNDSTROM,0,0,Z,A,U,,0,0,0,0
171-063_____00ML,,,,KI,KITS,Sundstrom Premium Kit  Medium to Large,EACH,SUNDSTROM,0,0,S,A,U,,0,0,0,0
171-063_____00SM,,,,KI,KITS,Sundstrom Premium Kit  Small to Medium,EACH,SUNDSTROM,1,1,S,A,U,,0,1,0,0
171-063_____0LXL,,,,KI,KITS,Sundstrom Premium Kit  Large to Extra Large,EACH,SUNDSTROM,1,1,S,A,U,,0,1,0,0
185395,,,,KI,KITS,Rugged Xtremes Essentials PPE Kit Bag Green RXES05C212,EACH,RUGXTR,0,0,S,A,,,0,0,0,0
185396,,,,KI,KITS,Rugged Xtremes Essentials PPE Kit Bag Black RXES05C212BK,EACH,RUGXTR,0,0,S,A,,,0,0,0,0
185403,,,,KI,KITS,Rugged Xtremes Essentials PPE Kit Bag Orange RXES05C212HVOR,EACH,RUGXTR,0,0,S,A,,,0,0,0,0
185410,,,,KI,KITS,"Rugged Xtreme Ppe Kit Bag  Canvas Black 670Lx330Wx330H,73L,1.54Kg",EACH,RUGXTR,0,0,S,A,,,0,0,0,0
185411,,,,KI,KITS,"Rugged Xtreme Ppe Kit Bag  Canvas Blue 670Lx330Wx330H,73L,1.54Kg",EACH,RUGXTR,0,0,S,A,,,0,0,0,0
185412,,,,KI,KITS,Rugged Xtreme Cold Crib Accesory Kit Yellow,EACH,RUGXTR,0,0,S,A,,9334184002187,0,0,0,0
185414,,,,KI,KITS,Rugged Xtreme 1100Ml Reusable Starter Crib Kit,EACH,RUGXTR,0,-2,S,A,,9334184002798,0,-2,0,0
215052,,,,KI,KITS,DraegRr Australia Multi-Gas Monitor X-AM 2500 CSE KIT (Pump + tubing + case),EACH,DRAEGER,0,0,S,A,,,0,0,0,0
263561,,,,KI,KITS,Welding Mask Including Flap,EACH,,0,0,K,O,,,0,0,0,0
263667,,,,KI,KITS,Elliots Heat Resistant Faceshield Kit W/ Neck Flap And Helmet Cover,EACH,ELLIOTAUS,0,0,S,A,,,0,0,0,0
407928,,,,KI,KITS,MSA NSW Kit tubing ALTPRO 40cm TYGON,EACH,MSA,0,0,S,A,,,0,0,0,0
437307,,,,KI,KITS,Uvex QLD Police Service Kit QLD Police Services QPSSN185,EACH,,0,0,K,A,,,0,0,0,0
600789,,,,KI,KITS,3M Australia TR-300+ PAPR Kit c/w S-657 Re- Usable HeadHarness AT010591496,EACH,3MAUST,1,1,S,T,,,0,1,0,0
600797,,,,KI,KITS,3M Australia PELTOR EEP-100 Tactical Earplug Kit,EACH,3MAUST,0,0,S,A,,,0,0,0,0
675082,,,,KI,KITS,Brady Australia Spill kit Large Mobile - Yello General Maintenance,EACH,BRADY,0,0,S,A,,,0,0,0,0
701175,,,,KI,KITS,3M Australia ELSA 5YR Service Kit XP100000437,EACH,3MAUST,0,0,S,A,,,0,0,0,0
701176,,,,KI,KITS,3M Australia Cylinder Hydrostatic Testing AX010712614 2,EACH,3MAUST,0,0,S,A,,,0,0,0,0
701208,,,,KI,KITS,3M First Construction Workers Kit,EACH,3MAUST,0,0,S,A,,,0,0,0,0
701209,,,,KI,KITS,3M First Roof Workers Kit,EACH,3MAUST,0,0,S,A,,,0,0,0,0
701218,,,,KI,KITS,3M Dual Airline Kit 6900 Full-Face Respirator,EACH,3MAUST,0,0,S,A,,,0,0,0,0
737138,,,,KI,KITS,Nu-Jet PPE Kit,EACH,,0,-1,K,A,,,0,-1,0,0
