Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
1000148,,,,OT,HIPR,Tuapeka Blossom Pen Blk/Yel 106156,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
1000163,,,,OT,HIPR,Tuapeka Kangaroo Plush Toy Bright Green 117007,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
100918__,,,,OT,HIPR,Tuapeka Stress Ball,EACH,TUAGOL,0,0,Z,A,U,,0,0,0,0
100918__BLCKOSFA,,,,OT,HIPR,Tuapeka Stress Ball Black One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__BRGNOSFA,,,,OT,HIPR,Tuapeka Stress Ball Bright Green One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__DABLOSFA,,,,OT,HIPR,Tuapeka Stress Ball Dark Blue One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__DAGNOSFA,,,,OT,HIPR,Tuapeka Stress Ball Dark Green One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__LTBLOSFA,,,,OT,HIPR,Tuapeka Stress Ball Light Blue One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__ORGEOSFA,,,,OT,HIPR,Tuapeka Stress Ball Orange One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__PINKOSFA,,,,OT,HIPR,Tuapeka Stress Ball Pink One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__PULEOSFA,,,,OT,HIPR,Tuapeka Stress Ball Purple One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__RED_OSFA,,,,OT,HIPR,Tuapeka Stress Ball Red One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__WHTEOSFA,,,,OT,HIPR,Tuapeka Stress Ball White One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
100918__YEOWOSFA,,,,OT,HIPR,Tuapeka Stress Ball Yellow One Size Fits All,EACH,TUAGOL,0,0,S,A,U,,0,0,0,0
106964,,,,OT,HIPR,AVANTI TOTE NAG NON WOVEN BLACK 420mmx380mmx90mm,EACH,,0,0,S,A,,,0,0,0,0
106965,,,,OT,HIPR,Avanti Tote Bag Non Woven Royal Blue 420x380x90mm,EACH,TUAGOL,0,0,S,A,,,0,0,0,0
