Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
10006600,,,,PH,PHKP,FERAUS SKED Basic Rescue System Orange,EACH,FERNO,0,0,S,A,,,0,0,0,0
10006601,,,,PH,PHKP,FERAUS FRED-ADULT-UF (Unfilled) Ferno Rescue Emergency Device,EACH,FERNO,0,0,S,A,,,0,0,0,0
10025,,,,PH,PHMS,Safety Project Installation Static Line - Skylight Covers Step Ups and Handrails,EACH,SAFGRO,0,0,S,O,,,0,0,0,0
10026,,,,PH,PHMO,ABC Height Safety Equipment Repairs & Servicing,EACH,SPANSET,0,0,S,O,,,0,0,0,0
10034,,,,PH,PHMS,Safety Project Installation Hand Rail Additional for Plant Platform Q2007-047,EACH,SAFGRO,0,0,S,O,,,0,0,0,0
10040,,,,PH,PHMS,ABC Labour Height/Confined Space Safety Equipment Installation,EACH,,0,0,L,,,,0,0,0,0
10041,,,,PH,PHMI,ABC Labour Concrete Core Strength Testing,EACH,,0,1000000000,L,,,,18,1000000000,0,0
1006373,,,,PH,PCIO,3MAUST DBI-SALA? Personal Energy Absorber Z8-69-69 Blue,EACH,3MAUST,0,0,S,T,,,0,0,0,0
1006374,,,,PH,PHLA,3MAUST DBI-SALA? Force2? Adjustable Lanyard Single Tail Z11200909,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006375,,,,PH,PCIH,3MAUST DBI-SALA? ExoFit NEX? Riggers Harness,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006416,,,,PH,PHHF,3M Australia Pty Ltd Construction Full Body Harness AT010621582,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006417,,,,PH,PHHF,3M Australia Pty Ltd Industrial Full Body Harness AT010621574,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006418,,,,PH,PHHF,3M Australia Pty Ltd Industrial Full Body Harness w Lanyard+ Snap Hook AT010621590,EACH,3MAUST,0,0,S,A,,,1,0,0,0
1006418Z,,,,PH,PHHM,3M Australia ALSTOM  Industrial Harness W Lanyard And Snap Hook M,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006419,,,,PH,PHHF,3M Australia Pty Ltd Industrial Full Body Harness w Lanyard+ Scaf Hook AT010621608,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006420,,,,PH,PHKR,3M Australia Pty Ltd Construction Workers Kit 70007930384,EACH,3MAUST,0,0,S,T,,,0,0,0,0
1006421,,,,PH,PHKR,3M Australia Pty Ltd Roof Workers Kit 70007928479,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006422,,,,PH,PHLA,3M Australia Pty Ltd Nano-Lok Single Leg SRL w Snap 70007455226,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006423,,,,PH,PHLA,3M Australia Pty Ltd Nano-Lok Twin Leg SRL w Scaff 70007455242,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006424,,,,PH,PHLA,3M Australia Pty Ltd Self Retract. Lifeline SRL 6m 70007458675,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006425,,,,PH,PHLA,3M Australia Pty Ltd Self Retract. Lifeline SRL 30m 70007460622,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006426,,,,PH,PHLA,3M Australia Pty Ltd DBI-SALA Self Rescue 15m 70007650362,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006427,,,,PH,PHLA,3M Australia Pty Ltd DBI-SALA Self Rescue 30m 70007650370,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006428,,,,PH,PHLA,3M Australia Pty Ltd P50 Shock Lanyard Single AT010621624,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006429,,,,PH,PHLA,3M Australia Pty Ltd P50 Shock Lanyard Twin AT010621616,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006430,,,,PH,PHLA,3M Australia Pty Ltd Adjust. Rope Laynard Single 70007942074,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006431,,,,PH,PHLA,3M Australia Pty Ltd Protecta Tie-Off Adaptor AT010621657,EACH,3MAUST,0,0,S,T,,,0,0,0,0
1006432,,,,PH,PHLA,3M Australia Pty Ltd Self Retract- Lifeline 20m 70007460549,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006434,,,,PH,PHHF,3M DBI-SALA Trigger X Adjustable Rope Positioning Lanyard,EACH,3MAUST,0,0,S,A,,,0,0,0,0
1006435,,,,PH,PHAM,3M DBI-SALA Exofit NEX Riggers Harness,EACH,3MAUST,0,0,S,A,,,0,0,0,0
10101,,,,PH,PHMT,Baseline Training Safe Working at Height Various Tasks,EACH,,0,0,L,,,,0,0,0,0
10102,,,,PH,PHMT,Baseline Training Safe Working in a Confined Space,EACH,,0,0,L,,,,0,0,0,0
10103,,,,PH,PCTZ,Baseline Training Confined Space for Management,EACH,,0,0,L,,,,0,0,0,0
10104,,,,PH,PCTZ,Baseline Training Rescue from a Confined Space,EACH,,0,0,L,,,,0,0,0,0
10105,,,,PH,PHMT,Baseline Training Inspecting Fall Protective Equipment,EACH,,0,0,L,,,,0,0,0,0
10106,,,,PH,PCTZ,Baseline Training Gas Detector Use,EACH,,0,0,L,,,,0,0,0,0
10107,,,,PH,PHMT,Baseline Training Conducting Risk Assessments,EACH,,0,0,L,,,,0,0,0,0
10108,,,,PH,PCTZ,Baseline Training Breathing Apparatus Use,EACH,,0,0,L,,,,0,0,0,0
10116,,,,PH,PHMT,Baseline Training Immobilisation,EACH,,0,0,L,,,,0,0,0,0
10119,,,,PH,PHMT,Baseline Training Manual Handling Training,EACH,,0,0,L,,,,0,0,0,0
10120,,,,PH,PHMT,Spanset Height Equipment Inspection Training MAX 6 ppl MEM15004B,EACH,,0,1000000000,L,,,,2,1000000000,0,0
10124287,,,,PH,PCGA,MSA ALTAIR 5X PID LEL O2 CO/H2S C/W Sample Line and Probe,EACH,MSA,0,0,S,A,,,0,0,0,0
10124287Z,,,,PH,PCGA,MSA Safety Altair 5x Pid Lel O2 Co/H2S C/W  Alstom,EACH,MSA,0,0,S,A,,,0,0,0,0
10124288,,,,PH,PCGK,MSA ALTAIR 5X PID KIT O2CO/H2S C/W Sample Line And Probe,EACH,MSA,0,0,S,A,,,0,0,0,0
10124300,,,,PH,PHAM,"MSA """"""Grip 6"""""""" Tool Holder"""""" 10040018",EACH,MSA,0,0,S,A,,,0,0,0,0
10124303,,,,PH,PHLA,V-Edge SRL 6m Cable Galv Steel 63406-00AEU,EACH,MSA,0,0,S,A,,,0,0,0,0
1015546_,,,,PH,PHHM,Harness Workman Crossover,EACH,MSA,0,0,Z,T,U,,0,0,0,0
1015546_STST000L,,,,PH,PHHM,Harness Workman Crossover Stainless Steel Large,EACH,MSA,0,0,S,T,U,,0,0,0,0
1015546_STST000S,,,,PH,PHHM,Harness Workman Crossover Stainless Steel Small,EACH,MSA,0,0,S,T,U,,0,0,0,0
1030944,,,,PH,PHKM,Honeywell Australia Miller Rescue System 2.1 metre Miller Tripod c/w locking legs,EACH,HONEYWELL,0,0,S,A,,,0,0,0,0
1030945,,,,PH,PHKM,Honeywell Australia Miller Man Lifting Winch 18mGalv Cable,EACH,HONEYWELL,0,0,S,A,,,0,0,0,0
1030946,,,,PH,PCID,Honeywell Flush MountFloor StainlesSteel DH-20SS,EACH,HONEYWELL,0,0,S,A,,,0,0,0,0
1030947,,,,PH,PCID,Honeywell SLEEVE CAP (ZINC PLATED) DH-10ZP,EACH,HONEYWELL,0,0,S,A,,,0,0,0,0
1030948,,,,PH,PHLW,Honeywell Australia Falcon Type 2 Galv 50Kn Ss Tak - 20M Triple Action,EACH,HONEYWELL,0,0,S,A,,,0,0,0,0
1041162,,,,PH,PHMS,Barrier Security Heavy Bump Rail 2400 x 165 BR165A-Y,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041163,,,,PH,PHMS,Barrier Security Bump Rail Slip Joiner BRSJ600G,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041164,,,,PH,PHMS,Barrier Security Fixing Kit for BR165A-Y KIT35,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1042000,,,,PH,PHKM,Energy Network LV Rescue Kit W'Gloves & Rescue Hook LVRK-P,EACH,ENGNET,0,0,S,O,,,0,0,0,0
1046659,,,,PH,PHMO,Uniform Safety Logbook Working at Heights 165556,EACH,UNIFSAFE,0,0,S,O,,,0,0,0,0
1047835,,,,PH,PHHM,Scott Safety SC120 Harness 63596,EACH,SCOTTSAFE,0,0,S,O,,,0,0,0,0
105588,,,,PH,PHHM,Skyfizz Lifter Click Orange/Black ARG 131 Front&Backd-Ring Cs Loop L/xxl,EACH,UNIFSAFE,0,0,S,A,,,0,0,0,0
105589,,,,PH,PHHM,Skyfizz Lifter Click Orange/Black Front&Backd-Ring Cs Loop L/xxl,EACH,SKYLOTEC,0,0,S,A,,,0,0,0,0
1065005,,,,PH,PHAR,Spanset Kernmantle Rope Orange blue 11mm Per Metre RC-11-0,EACH,SPANSET,0,0,S,A,,,0,0,0,0
1065011,,,,PH,PHCS,3M DBI-SALA Fixed Bean Anchor 2108406 70007442091,EACH,3MAUST,0,0,S,O,,,0,0,0,0
1065016,,,,PH,PHCS,3M Raildog Sliding Rail Anchor 21999938 70007649455,EACH,3MAUST,0,0,S,O,,,0,0,0,0
1065017,,,,PH,PCIH,Spanset Harness Confined Space With Attachments Rear D 1100 ERGO,EACH,SPANSET,4,2,S,A,,9315418000353,2,2,0,0
1065021,,,,PH,PHKR,Spanset Kit Roof Worker 6001-0 ERGO,EACH,SPANSET,169,169,S,A,,9315418000438,0,169,0,0
1065023,,,,PH,PHKP,Spanset Gotcha Post Fall Rescue Kit w' 50m Rope GOTCHA-KIT-0,EACH,SPANSET,0,0,S,A,,,0,0,0,0
1065024,,,,PH,PHKP,***NLA *** Spanset Inertia Reel Clamp for Gotcha Rescue Kit HB Arrest HB-ARREST,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065027,,,,PH,PCIH,Spanset Safety Harness Rear D and Loops 1104 ERGO,EACH,SPANSET,0,0,X,C,,1065312,0,0,0,0
1065028,,,,PH,PHLW,Spanset Lanyard Webbing Energy Absorb 1.8 with Hooks 3053,EACH,SPANSET,261,257,S,A,,9315418000377,14,257,0,0
1065029,,,,PH,PHCL,Spanset Static Line Horizontal Webbing 18M C/W Ratchet 3400,EACH,SPANSET,0,0,S,A,,,0,0,0,0
1065030,,,,PH,PHCL,Spanset Rope Restraint Line Snap Hook Perm Shock Absorb to Rope Adjust 15m 3108-SA-0x15,EACH,SPANSET,2,2,S,A,,9315418000810,0,2,0,0
1065031,,,,PH,PHCS,Spanset Reeved Heavy Duty Anchor Strap 1.3m 3501,EACH,SPANSET,12,6,S,A,,9315418000414,0,6,0,0
1065032,,,,PH,PHAR,Spanset Rope 3 Strand 12mm Per Metre RC12,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065033,,,,PH,PHAR,Spanset Kernmantle Rope 13mm Per Metre RC13,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065034,,,,PH,PHAR,Spanset Rope 3 Strand 16mm Per Metre RC16,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065035,,,,PH,PCIT,***NLA*** Spanset Tripod 2.3m FP6600/7,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065036,,,,PH,PCIS,Spanset Spreader Bar For Confine Space Harness 4006,EACH,BLUERAPTA,0,0,S,A,,,0,0,0,0
1065037,,,,PH,PHAZ,***NLA *** Spanset 15m 3 Way Recovery Fall Arrestor FP2/415GR,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065038,,,,PH,PCIO,Spanset XTIRPA Adaptor To Suit SVWLB Winch & North Bracket,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065039,,,,PH,PHHF,Spanset Harness C/W Front Attachment and Sides DS 1107ERGO-0,EACH,SPANSET,74,74,S,A,,,0,74,0,0
1065040,,,,PH,PHCS,***NLA*** Spanset Custom Anchor Strap 18in Leng With Small D Rings - HD 3503,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065042,,,,PH,PHCL,Spanset Rope Restraint Line 15metre C/WH1 Snap Hook 3107x15,EACH,SPANSET,0,0,S,O,,,0,0,0,0
1065043,,,,PH,PHLW,Spanset Energy Absorber Pack with Karabiners 3051,EACH,SPANSET,1,1,S,A,,,0,1,0,0
1065044,,,,PH,PHBS,Spanset Karabiner Screwgate 23kN K2-0,EACH,SPANSET,25,25,S,A,,,0,25,0,0
