Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
01/Q022_,,,,PP,PFHA,leather palm,EACH,AMARE,0,0,Z,O,U,,0,0,0,0
01/Q022_NAVYOSFA,,,,PP,PFHA,leather palm Navy One Size Fits All,EACH,AMARE,0,0,S,O,U,,0,0,0,0
01/Q022_ORGEOSFA,,,,PP,PFHA,leather palm Orange One Size Fits All,EACH,AMARE,0,0,S,O,U,,0,0,0,0
01/Q022_WHTEOSFA,,,,PP,PFHA,leather palm White One Size Fits All,EACH,AMARE,0,0,S,O,U,,0,0,0,0
0161G___,,,,PP,PGYO,Glove Ringers SuperHero Med.,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
0161G___HIYE0006,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 6,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
0161G___HIYE0007,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 7,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
0161G___HIYE0008,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
0161G___HIYE0009,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 9,EACH,ANSELL,20,20,S,A,U,,0,20,0,0
0161G___HIYE0010,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 10,EACH,ANSELL,0,-15,S,A,U,,35,-15,0,0
0161G___HIYE0011,,,,PP,PGYO,Glove Ringers SuperHero Med. HiVis Yellow 11,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
02-100__,,,,PP,PGRO,Glove Barrier Chemical Resist,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
02-100__WHTE0008,,,,PP,PGRO,Glove Barrier Chemical Resist White 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
02-100__WHTE0009,,,,PP,PGRO,Glove Barrier Chemical Resist White 9,EACH,ANSELL,7,7,S,A,U,,0,7,0,0
02-100__WHTE0010,,,,PP,PGRO,Glove Barrier Chemical Resist White 10,EACH,ANSELL,21,21,S,A,U,,0,21,0,0
03SBG___,,,,PP,PBDC,Overall Disposable 55g,EACH,WORKSAFETY,0,0,Z,,U,,0,0,0,0
03SBG___BLUE000L,,,,PP,PBDC,Overall Disposable 55g Blue Large,EACH,WORKSAFETY,0,0,S,O,U,,0,0,0,0
03SBG___BLUE000M,,,,PP,PBDC,Overall Disposable 55g Blue Medium,EACH,WORKSAFETY,0,0,S,O,U,,0,0,0,0
03SBG___BLUE00XL,,,,PP,PBDC,Overall Disposable 55g Blue XL,EACH,WORKSAFETY,0,0,S,O,U,,0,0,0,0
03SBG___BLUE02XL,,,,PP,PBDC,Overall Disposable 55g Blue 2XL,EACH,WORKSAFETY,0,0,S,O,U,,0,0,0,0
05265R__,,,,PP,PBDC,Disposable Coverall Ref Tape,EACH,FABRICELL,0,0,Z,,U,,0,0,0,0
05265R__WHTE000L,,,,PP,PBDC,Disposable Coverall Ref Tape White Large,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05265R__WHTE000M,,,,PP,PBDC,Disposable Coverall Ref Tape White Medium,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05265R__WHTE000S,,,,PP,PBDC,Disposable Coverall Ref Tape White Small,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05265R__WHTE00XL,,,,PP,PBDC,Disposable Coverall Ref Tape White XL,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05265R__WHTE02XL,,,,PP,PBDC,Disposable Coverall Ref Tape White 2XL,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05265R__WHTE03XL,,,,PP,PBDC,Disposable Coverall Ref Tape White 3XL,EACH,FABRICELL,0,0,S,A,U,,0,0,0,0
05268___,,,,PP,PBDC,Coverall Microgard CFR,EACH,FABRICELL,0,0,Z,,U,,0,0,0,0
05268___GREY000L,,,,PP,PBDC,Coverall Microgard CFR Grey Large,EACH,FABRICELL,1,1,S,T,U,,0,1,0,0
05268___GREY000M,,,,PP,PBDC,Coverall Microgard CFR Grey Medium,EACH,FABRICELL,0,0,S,T,U,,0,0,0,0
05268___GREY00XL,,,,PP,PBDC,Coverall Microgard CFR Grey XL,EACH,FABRICELL,0,0,S,T,U,,0,0,0,0
05268___GREY02XL,,,,PP,PBDC,Coverall Microgard CFR Grey 2XL,EACH,FABRICELL,0,0,S,T,U,,0,0,0,0
05271___,,,,PP,PBDC,Coverall Disp Microchem Apollo,EACH,FABRICELL,0,0,Z,,U,,0,0,0,0
05271___GREN00XL,,,,PP,PBDC,Coverall Disp Microchem Apollo Green XL,EACH,FABRICELL,0,0,S,O,U,,0,0,0,0
