Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
100066100,,,,RS,RSAZ,"""600x900Back Adbasedouble?"" QST1-5 Workman Symbolic Decal",EACH,DENEEFE,0,0,S,A,,,0,0,0,0
100400,,,,RS,RBSA,Lightwave Technology Jack Jaws Star Picket Remover Orange Small PPS-10,EACH,JACKJAWS,3,3,S,A,,,0,3,0,0
100401,,,,RS,RBSA,Lightwave Technology Jack Jaws Star Picket Remover Orange Large PPL-10,EACH,JACKJAWS,0,0,S,A,,,0,0,0,0
10047446,,,,RS,RBCS,Uniform Safety Barrier Tape - Blue/White 75mmx50mtr,EACH,UNISAFE,0,0,S,A,,,0,0,0,0
10047491,,,,RS,RSAZ,Uniform Safety Stop/Stop (Baton Head) 187954/1,EACH,UNIFSAFE,4,4,S,A,,,0,4,0,0
10047492,,,,RS,RSAZ,Uniform Safety Slow/Slow (Baton Head) 187954/2,EACH,UNIFSAFE,0,0,S,A,,,0,0,0,0
1007506,,,,RS,RBBZ,Paragon Safety Red/White Barrier Tape Double-sided 100m Roll,EACH,PARAGON,0,0,S,A,,,0,0,0,0
1007522,,,,RS,RSFS,Uniform Safety One Way - Left Arrow Metal 450x300mm,EACH,UNISAFE,0,0,S,A,,,0,0,0,0
10101109,,,,RS,RBSZ,50NB XLT HDG Pipe / Post 3.6M 1230 1094,EACH,KWN,0,0,S,A,,,0,0,0,0
10101110,,,,RS,RSFS,KWN Trading (QLD) Stop Sign 750mm Oct. Aluminium - C1W Red R1-1B TD1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101111,,,,RS,RSFS,KWN Trading 60KM Speed 600 x 800mm Alum. White C1W R4-1B Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101112,,,,RS,RSFS,KWN Trading 30km/h Alum 750 x 500mm Yellow CL1 W8-2B Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101113,,,,RS,RSFS,KWN Trading 40km/h Alum 750 x 500mm Yellow CL1 W8-2B Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101114,,,,RS,RSFS,KWN Trading 50km/h Alum 750 x 500mm Yellow CL1 W8-2B Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101115,,,,RS,RSFS,KWN Trading Curve Left 750 x 750mm Alumini Class 1 Yellow W1-3BL Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101116,,,,RS,RSFS,KWN Trading Curve Right 750 x 750mm Alum.Yellow C1W W1-3BR Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101117,,,,RS,RSFS,KWN Trading Warning Sign CL1W 750 x 750mm Alum Yellow Railed W1-4BL - Reverse Curve - L',EACH,KWN,0,0,S,A,,,0,0,0,0
10101118,,,,RS,RSFS,KWN Trading Warning Sign CL1W 750 x 750mm Alum Yellow Railed W1-4BL - Winding Road - Left,EACH,KWN,0,0,S,A,,,0,0,0,0
10101119,,,,RS,RSFS,KWN Trading Warning Sign CL1W 750x750mm Alum Yellow Railed W1-7BR Hair Pin Bend Right,EACH,KWN,0,0,S,A,,,0,0,0,0
10101120,,,,RS,RSFS,KWN Trading Warning Sign CL1W 750 x 750mm Alum Yellow Railed W5-11B - CREST',EACH,KWN,0,0,S,A,,,0,0,0,0
10101121,,,,RS,RSFS,KWN Trading Warning Sign CL1W 750 x 750mm Alum Yellow Railed W5-12B - Steep Decent',EACH,KWN,0,0,S,A,,,0,0,0,0
10101122,,,,RS,RSFS,KWN Trading Hazard Marker Alum CL1W Wht 3200 x 800mm D4-1-1B Railed,EACH,KWN,0,0,S,A,,,0,0,0,0
10101123,,,,RS,RSAZ,KWN Trading TD1 Bracket Extrusion C/W Cone Tip Bolt & Washer,EACH,KWN,0,0,S,A,,,0,0,0,0
10101124,,,,RS,RSAZ,KWN Trading Signfix Bracket ARC060 50 NB c/w Galv nut and bolt,EACH,KWN,0,0,S,A,,,0,0,0,0
10101125,,,,RS,RSAZ,KWN Trading Post Cap. galvanised to suit 50NB Post,EACH,KWN,0,0,S,A,,,0,0,0,0
10101126,,,,RS,RSFS,KWNTrading W33B Railed SIgnals Ahead Traffic Lights Pico 750x750 CL1 12701228,EACH,KWN,0,0,S,A,,,0,0,0,0
10101155,,,,RS,RBWW,KWN Trading Collapsible Delineator Base 9.7kg,EACH,KWN,0,0,S,A,,,0,0,0,0
10101156,,,,RS,RCAZ,KWN Trading Colour Reflective Sleeve Green 250mmX700mm Traffic Cone,EACH,KWN,0,0,S,A,,,0,0,0,0
10101157,,,,RS,RCAZ,KWN Trading Colour Reflective Sleeve Yello 250mmX700mm Traffic Cone,EACH,KWN,0,0,S,A,,,0,0,0,0
10101158,,,,RS,RCAZ,KWN Trading Coloured Reflective Sleeve Red 250mmX700mm Traffic Cone,EACH,KWN,0,0,S,A,,,0,0,0,0
10101162,,,,RS,RSCC,KWNTRA Man Yellow Corflute 6mm x 1200mm Poitning Up,EACH,KWN,0,0,S,A,,,0,0,0,0
10101163,,,,RS,RSCC,KWNTRA  60 KM Speed 450 x 600mm Alloy WHT C1W R4-1A TD1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101164,,,,RS,RSCC,KWNTRA  40 KM Speed 450 x 600mm Alloy WHT C1W R4-1A TD1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101165,,,,RS,RSCC,KWNTRA Stop Sign 600mm Oct. Alloy C1W Red R1-1A (QLD) TD1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101166,,,,RS,RSCC,KWNTRA Depth 1-3M 200mm x3250mm DS Extrusion White C1w G9-221B,EACH,KWN,0,0,S,A,,,0,0,0,0
10101167,,,,RS,RSCC,KWNTRA 50NB XLT HDG Pipe / Post 3.25M 0,EACH,KWN,0,0,S,A,,,0,0,0,0
10101168,,,,RS,RSCC,KWNTRA 450mm KWN Lime Green Traffic Cone,EACH,KWN,0,0,S,A,,,0,0,0,0
10101179,,,,RS,RCNZ,KWN R2BM Two Way Blue Permanent Raised Pavement Marker,EACH,KWN,0,0,S,A,,,0,0,0,0
10101180,,,,RS,RCNZ,KWN R2BM Two Way Yellow Permanent Raised Pavement Marker,EACH,KWN,0,0,S,A,,,0,0,0,0
10101181,,,,RS,RCNZ,KWN R2BM Two Way White Permanent Raised Pavement Marker,EACH,KWN,0,0,S,A,,,0,0,0,0
10101184,,,,RS,RCNZ,KWN Revolution 1.5kg Traffic Cone 10900005,EACH,KWN,0,0,S,A,,,0,0,0,0
10101187,,,,RS,RSFS,KWN Aluminium 600mm Octagon White Stop Proceed Slowly,EACH,KWN,0,0,S,A,,,0,0,0,0
10101188,,,,RS,RSFS,KWN Shared Zone 10km 450 x 750 mm CL1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101189,,,,RS,RSFS,KWN Alloy 300 x 400mm C1 Yellow Watch out Forklift Are,EACH,KWN,0,0,S,A,,,0,0,0,0
10101190,,,,RS,RSFS,KWN W1-1A-L Warning Sign 600 x 600mm Alloy CL1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101191,,,,RS,RSFS,KWN W1-1A-R Warning Sign 600 x 600mm Alloy CL1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101192,,,,RS,RSFS,KWN Warning Sign 600 x 600m Alloy CL1 W2-3A CL1,EACH,KWN,0,0,S,A,,,0,0,0,0
10101193,,,,RS,RSFS,KWN Keep Left 450 x 600mm CL1W TD1 Holes R2-3AL,EACH,KWN,0,0,S,A,,,0,0,0,0
10101196,,,,RS,RSFS,KWN End Shared Zone 450x750mm C1W R4-5A TD1 holes,EACH,KWN,0,0,S,A,,,0,0,0,0
10101197,,,,RS,RSFS,KWN ONE WAY LEFT Alloy 450x600mm C1W R2-2AL TD1 Holes,EACH,KWN,0,0,S,A,,,0,0,0,0
10101198,,,,RS,RSFS,KWN ONE WAY RIGHT Alloy 450x600mm C1W R2-2AR TD1 Holes,EACH,KWN,0,0,S,A,,,0,0,0,0
10101199,,,,RS,RSFS,KWN Left Only 600x800mm Alloy White C1w R2-14A L TD1 H,EACH,KWN,0,0,S,A,,,0,0,0,0
10101200,,,,RS,RCRZ,KWN KWN Traffic Cone W'Ref Collar 450mm Yellow 10900012,EACH,KWN,0,0,S,A,,,0,0,0,0
10101201,,,,RS,RCNZ,KWN Revolution 450mm 1.5 kg Traffic Yellow,EACH,KWN,0,0,S,A,,,0,0,0,0
10101202,,,,RS,ROFM,KWN FSM2231 STEEL MP SAFETY YELLOW 1.35M,EACH,KWN,0,0,S,A,,,0,0,0,0
10101203,,,,RS,RLFZ,KWN D1R 50MM x 100MM RED 5K CLASS 1A METALIZED DELINEATOR,EACH,KWN,0,0,S,A,,,0,0,0,0
10101207,,,,RS,RBMZ,KWN Sand Bag Vinyl Orange With Handle,EACH,KWN,0,0,S,A,,,0,0,0,0
10101232,,,,RS,RBCO,KWN Base Post Holder To Suit 50 Nb Post C/W 4 Holes,EACH,KWN,0,0,S,A,,,0,0,0,0
10101233,,,,RS,RSAZ,KWN Gibb Key Wedge To Suit Base Plat,EACH,KWN,0,0,S,A,,,0,0,0,0
10110,,,,RS,RBAZ,USE 901814 Label 249x180mm RSEA Australia Label Barrier,EACH,LABLIN,8000,8000,S,O,,901814,0,8000,0,0
10111,,,,RS,RBAZ,USE 901836 Label 249x180mm RSEA NZ Label Barrier,EACH,LABLIN,0,0,S,O,,901836,0,0,0,0
10112,,,,RS,RPRO,Custom Made Labels As Per Purchase Order Notes,EACH,UNIFSAFE,0,0,S,A,,,0,0,0,0
10113,,,,RS,RBAZ,USE 901837 Label Barrier for Road Liner Label 170x130mm,EACH,LABLIN,5500,5500,S,O,,901837,0,5500,0,0
10114,,,,RS,RPRO,Marketing Material Miscellaneous,EACH,RSEA,0,0,S,O,,,0,0,0,0
1015000,,,,RS,RHSR,Country Club Yellow Speed Hump H60 W380 RPSPH311 Length 1.5m,EACH,REPQUE,8,8,S,O,,,0,8,0,0
1015001,,,,RS,RHCZ,Country Club Grey Wheel Chocks GSCOGWS,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015002,,,,RS,RHSR,Country Club Grey Speed Hump H60 W380 RPSPH311 Length 1.5m,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015003,,,,RS,RHCZ,Country Club Wheelstop grey 1650mm RPWS165GREY,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015004,,,,RS,RHCZ,Country Club Wheelstop yellow 1650mm RPWS165YELLOW,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015005,,,,RS,RHSR,Country Club Spikes for Speed Humps in asphalt RPF5,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015006,,,,RS,RHSC,Country Club Fastener Concrete Bolt F3   150mmL x 10mmW,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015007,,,,RS,RHSC,Country Club Fastener Bitumen Spike Galvanised F5  300mmL x 10mmW,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1015008,,,,RS,RHAZ,Country Club Wheelstop Fasteners RPF4-Q,EACH,REPQUE,0,0,S,O,,,0,0,0,0
1025005,,,,RS,RLFZ,Perei Reflectors White,EACH,PERAUS,0,0,S,O,,,0,0,0,0
1040117,,,,RS,RBCS,Barrier Group 10M Belt Barrier Red/White Belt PILOT-RW,EACH,BARRIER,10,6,S,A,,,0,6,0,0
1040119,,,,RS,RBCO,Barrier Group Yellow Black UPVC Post And Base for PILOT PHLPVC,EACH,BARRIER,2,2,S,A,,,0,2,0,0
1040120,,,,RS,RBCS,Barrier Group Pilot with Caution No Entry Tape 10M PILOT-CNE,EACH,BARRIER,2,0,S,A,,,0,0,0,0
1040121,,,,RS,RBCO,Barrier Group Wall Protector Yellow/Black 800x200x32mm,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1040122,,,,RS,ROFM,Barrier Safety Bollard 90mm Below Ground - 316 Stainless Steel,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041123,,,,RS,ROFM,Barrier Group Round Bollard Economy Steel 144mm Gal/Steel C114SME-G,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041124,,,,RS,RHAZ,Barrier Group Dock Bumper Rubber 50x50x910mm DR50910,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041125,,,,RS,RBCO,Barrier Group Wall Mount Barrier 3m Black N3WMSS-BLK,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041126,,,,RS,ROFM,Barrier Group Bollard 220mm Surface Mounted Galvanised & Powder Coated Yellow C220SM,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041127,,,,RS,RHCZ,Barrier Access Ramp 60mm Black Rubber 609x1070x65mm 16kgs AR60,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041128,,,,RS,RBWW,Barrier Group Rebound Delineator 900 x 70mm RD900,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041129,,,,RS,RBCO,Barrier Group Wall Mount Barrier 5m PVC Red/White N5WMPVC-RW,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041132,,,,RS,RBCS,Barrier Security Neata Retractable Belt 3m S/S Wall Mount N3WMSS-RED,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041133,,,,RS,RBCS,Barrier Security Wall Mount Barrier PVC Red/White 10m N10WMPVC-RW,EACH,BARRIER,4,0,S,A,,,0,0,0,0
1041134,,,,RS,RCRZ,Barrier Security Reflective Traffic Cone w/ Rubber Base BTC1000Y,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041135,,,,RS,RHAZ,Barrier Security D-Section Dock Bumper DR100300 300x100x100,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041143,,,,RS,RHSS,Barrier Group Speed Hump Heavy Duty Steel Slo-Motion Yellow/Black 500mm,EACH,BARRIER,1,1,S,A,,,0,1,0,0
1041144,,,,RS,RBAZ,Barrier Group Anti Collision Strip 1m- red/white V profile ACS-1-RW,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041145,,,,RS,RBAZ,Barrier Group Anti Collision Strip 1m- red/white Rectangular profile ACS-2-RW,EACH,BARRIER,2,2,S,A,,,0,2,0,0
1041146,,,,RS,RBAZ,Barrier Group Slimline Portable Post 900mm Silver NG900SL-SS,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041147,,,,RS,RBCO,Barrier Security Wall Mount Barrier 3m 304 S/S - Black/Yellow N3WMSS-BY,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041148,,,,RS,RBCO,Barrier Security Wall Mount Barrier 3m 304 S/S - Blue N3WMSS-BLU,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041149,,,,RS,RBCO,Barrier Security Wall Mount Barrier 3m 304 S/S - Red N3WMSS-RED,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041150,,,,RS,RBCO,Barrier Security Wall Mount Barrier 3m 304 S/S - Red/White N3WMSS-RW,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041151,,,,RS,RBCO,Barrier Security Wall Mount Barrier 3m 304 S/S - Yellow N3WMSS-YEL,EACH,BARRIER,0,0,S,A,,,0,0,0,0
1041154,,,,RS,ROFM,Roadside Products POLY-FLEX SURFACE MOUNT  SHORT YELLOW 1200MM LONG,EACH,ROAPRO,0,0,S,A,,,0,0,0,0
1041155,,,,RS,RBWW,Roadside Products RED 50MM X 200M CLASS 1W RELECTIVE DELINEATOR,EACH,ROAPRO,0,0,S,A,,,0,0,0,0
