4031101603391,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
W011Z___,,,,WW,CMUO,Windcheater V-Neck Hi Vis,EACH,RIVWOR,0,0,Z,C,U,
W011Z___ZRT3000L,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape Large,EACH,RIVWOR,0,0,S,C,U,
W011Z___ZRT3000M,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape Medium,EACH,RIVWOR,1,-2,S,A,U,
W011Z___ZRT3000S,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape Small,EACH,RIVWOR,9,9,S,A,U,
W011Z___ZRT300XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape XL,EACH,RIVWOR,0,-3,S,A,U,
W011Z___ZRT302XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape 2XL,EACH,RIVWOR,7,7,S,A,U,
W011Z___ZRT303XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape 3XL,EACH,RIVWOR,2,-1,S,A,U,
W011Z___ZRT304XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape 4XL,EACH,RIVWOR,2,2,S,A,U,
W011Z___ZRT305XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis RACT Yellow Navy Added Tape 5XL,EACH,RIVWOR,0,0,S,C,U,
W011____,,,,WW,CMUO,Windcheater V-Neck Hi Vis,EACH,RIVWOR,0,0,Z,C,U,
W011____ORNY000L,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy Large,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY000M,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy Medium,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY000S,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy Small,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY00XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy XL,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY02XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy 2XL,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY03XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy 3XL,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY04XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy 4XL,EACH,RIVWOR,0,0,S,C,U,
W011____ORNY05XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Orange Navy 5XL,EACH,RIVWOR,0,0,S,C,U,
W011____YENY000L,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy Large,EACH,RIVWOR,0,0,S,C,U,
W011____YENY000M,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy Medium,EACH,RIVWOR,0,0,S,C,U,
W011____YENY000S,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy Small,EACH,RIVWOR,0,0,S,C,U,
W011____YENY00XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy XL,EACH,RIVWOR,0,0,S,C,U,
W011____YENY02XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy 2XL,EACH,RIVWOR,0,0,S,C,U,
W011____YENY03XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy 3XL,EACH,RIVWOR,1,1,S,C,U,
W011____YENY04XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy 4XL,EACH,RIVWOR,0,0,S,C,U,
W011____YENY05XL,,,,WW,CMUO,Windcheater V-Neck Hi Vis Yellow Navy 5XL,EACH,RIVWOR,0,0,S,C,U,
W03004__,,,,WW,FMAI,Durashocks Replacement Insoles,EACH,WOLVERINE,0,0,Z,I,U,
W03004__BLCK04US,,,,WW,FMAI,Durashocks Replacement Insoles Black 4,EACH,WOLVERINE,0,0,S,I,U,194917424520
W03004__BLCK05US,,,,WW,FMAI,Durashocks Replacement Insoles Black 5,EACH,WOLVERINE,0,0,S,I,U,194917424537
W03004__BLCK06US,,,,WW,FMAI,Durashocks Replacement Insoles Black 6,EACH,WOLVERINE,0,0,S,I,U,194917424544
W03004__BLCK07US,,,,WW,FMAI,Durashocks Replacement Insoles Black 7,EACH,WOLVERINE,0,0,S,I,U,018472040936
W03004__BLCK08US,,,,WW,FMAI,Durashocks Replacement Insoles Black 8,EACH,WOLVERINE,0,0,S,I,U,018472040950
W03004__BLCK09US,,,,WW,FMAI,Durashocks Replacement Insoles Black 9,EACH,WOLVERINE,0,0,S,I,U,018472040974
W03004__BLCK10US,,,,WW,FMAI,Durashocks Replacement Insoles Black 10,EACH,WOLVERINE,0,0,S,I,U,018472040998
W03004__BLCK11US,,,,WW,FMAI,Durashocks Replacement Insoles Black 11,EACH,WOLVERINE,0,0,S,I,U,018472041018
W03004__BLCK12US,,,,WW,FMAI,Durashocks Replacement Insoles Black 12,EACH,WOLVERINE,0,0,S,I,U,018472041032
W03004__BLCK13US,,,,WW,FMAI,Durashocks Replacement Insoles Black 13,EACH,WOLVERINE,0,0,S,I,U,018472041056
W03004__BLCK14US,,,,WW,FMAI,Durashocks Replacement Insoles Black 14,EACH,WOLVERINE,0,0,S,I,U,018472041070
W03004__BLCK15US,,,,WW,FMAI,Durashocks Replacement Insoles Black 15,EACH,WOLVERINE,0,0,S,I,U,018472041087
W04529__,,,,WW,FMAI,Wolverine Anti-Fatigue Insole,EACH,WOLVERINE,0,0,Z,A,U,
W04529__BLCK04US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 4 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK05US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 5 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK06US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 6 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK07US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 7 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK08US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 8 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK09US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 9 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK10US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 10 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK11US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 11 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK12US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 12 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK13US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 13 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK14US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 14 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__BLCK15US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Black 15 US,EACH,WOLVERINE,0,0,S,I,U,
W04529__RED_04US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Red 4 US,EACH,WOLVERINE,0,0,S,I,U,194917424551
W04529__RED_05US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Red 5 US,EACH,WOLVERINE,0,0,S,I,U,194917424568
W04529__RED_06US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Red 6 US,EACH,WOLVERINE,0,0,S,I,U,194917424575
W04529__RED_07US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Red 7 US,EACH,WOLVERINE,153,153,S,A,U,883799990048
W04529__RED_08US,,,,WW,FMAI,Wolverine Anti-Fatigue Insole Red 8 US,EACH,WOLVERINE,267,267,S,A,U,883799990055
