Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
1000,,,,WP,WARD,Laerdal Heartstart First Aid Defib Unit With Case M5067A,EACH,LAERDAL,0,0,S,O,,,0,0,0,0
100000,,,,WP,WGAZ,***NLA*** Bardwell At Ease Sponge Cote Blue Safety Mat AT2X3,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000000,,,,WP,WJCF,Bunzl Coffee Nescafe Blend 43 1kg Can Each CO436,EACH,BUNZL,0,0,S,O,,9300605004306,0,0,0,0
1000001,,,,WP,WJCF,Sugar White 2kg SU206,EACH,RSEA,13,13,S,A,,9310270020105,0,13,0,0
1000003,,,,WP,WJDC,Murfs Dispenser Coffee Milo CD300,EACH,MURFS,1,1,S,A,,,0,1,0,0
1000004,,,,WP,WJCF,Murfs Lipton Tea Box 1000 TE001,EACH,MURFS,0,0,S,A,,59310494977808,0,0,0,0
1000005,,,,WP,WJCF,Milo Nestle 1.9 kg NES435,EACH,CAMMAC,0,0,S,O,,9300605004351,0,0,0,0
1000006,,,,WP,WJCF,**NLA** Murfs Chicken Soup 750gm Jar SO750,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000007,,,,WP,WJCF,**NLA** Murfs Chicken Noodle Soup 750gm Jar SO751,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000009,,,,WP,WJCO,Foam Cup Cup Foam 8oz / 240ml 1000 Ctn RSI8 & FC008,EACH,RSEA,0,0,S,A,,,0,0,0,0
10000091,,,,WP,WJCO,Foam Cup Cup Foam 8oz / 240ml 25 Pack RSI8 & FC008,EACH,RSEA,0,0,S,O,,,0,0,0,0
100001,,,,WP,WGAZ,***NLA*** Bardwell At Ease Sponge Cote Charcoal Safety Mat AT2X3,EACH,ADVANT,0,0,S,O,,,0,0,0,0
1000010,,,,WP,WJCO,Murfs Plastic Cups 6PL 180ml 1000 Ctn PL003 PC006,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000011,,,,WP,WJPZ,Hand Towel Style-800 PT080 Hand Towel Premium 18.5cm x 80M Roll Each,EACH,RSEA,0,0,S,A,,19314077000800,0,0,0,0
1000012,,,,WP,WJPZ,Toilet Paper TP405 P400N Toilet Paper 2 Ply 400 Sheet CARTON 48 Rolls,EACH,RSEA,0,0,S,A,,119310802240046,0,0,0,0
1000013,,,,WP,WJDH,Murfs Dispenser Hand Towel Roll Clip Shut DS006,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000014,,,,WP,WJHZ,Tablets Urinal Tablet 4Kg UT004 KWDTLAV/4,EACH,RSEA,1,1,S,A,,,0,1,0,0
1000015,,,,WP,WJWZ,Murfs Squeege Heavy Duty 900mm Complete SQ900,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000016,,,,WP,WJWZ,Murfs Squeege Heavy Duty 600mm Complete SQ600,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000017,,,,WP,WJOZ,Murfs Handle Wooden 1.5M x 25mm WH150,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000018,,,,WP,WJOZ,Murfs Mop Head Oates Cotton With Thread 600g MP036,EACH,RSEA,0,0,S,A,,,0,0,0,0
100002,,,,WP,WGAZ,***NLA*** Bardwell At Ease Sponge Cote Burgundy Safety Mat AT2X3,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000020,,,,WP,WJHZ,SP750 066S Spray & Wipe 750ml,EACH,AJAX,0,0,S,A,,9311426008091,0,0,0,0
1000023,,,,WP,WJCO,Murfs Thermocup White CM340,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000024,,,,WP,WJOZ,MP024 MOPH24 Mop Head Cotton No 24 450g,EACH,ABERDEEN,0,0,S,A,,,0,0,0,0
1000025,,,,WP,WJBZ,Rubbish Bin Bin Plastic With Lid Black 75L RB075,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000026,,,,WP,WJHZ,Murfs Cleaner Toilet Bowl Thick 25L TB025,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000027,,,,WP,WJOZ,Murfs Mop Head Oates Cotton With Threaded Mop No 36 MP036,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000028,,,,WP,WJBZ,BU016 Mop Bucket Plastic Heavy Duty With Rollers & Castors 16L,EACH,DRAEGER,0,0,S,A,,,0,0,0,0
1000029,,,,WP,WJOZ,Murfs Toilet Brush Turks Head Timber Handle TB002,EACH,MURFS,0,0,S,O,,,0,0,0,0
100003,,,,WP,WGAZ,***NLA*** Bardwell At Ease Sponge Cote Blue Safety Mat  AT3X5,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000030,,,,WP,WJWZ,Murfs Chux Roll Heavy Duty 30cm x 45M Roll CW045,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000031,,,,WP,WJPZ,**NLA** TP415 ABC Deluxe Toilet Tissue 2ply 400sheet 48rolls/ctn,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000032,,,,WP,WMOC,**NLA** Murfs Site Mirror 300x300mm MI002,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000033,,,,WP,WJBZ,**NLA** Murfs Bucket Plastic 10L BU010 SAB37029,EACH,ALLINP,0,0,S,O,,,0,0,0,0
1000034,,,,WP,WJOZ,**NLA** Murfs Mop Head Oates Duraclean Blue Heavy Duty MP031,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000035,,,,WP,WJWZ,Murfs Scourer Sponges 150x100mm Pk 10 SC002,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000036,,,,WP,WJHZ,Murfs Surface Cleaner Spray N Wipe Antibacterial 5L SP005,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000037,,,,WP,WJPZ,Murfs Hand Towel 100m x 16 Rolls PT100,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000038,,,,WP,WJHZ,Murfs Urinal Tablets 15kg UT015,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000039,,,,WP,WJPZ,***NLA*** Murfs Air Freshner 200g,EACH,MURFS,0,0,S,O,,,0,0,0,0
100004,,,,WP,WGAZ,***NLA*** Bardwell At Ease Sponge Cote Charcoal Safety Mat AT3X5,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000040,,,,WP,WJOZ,Murfs Upright Dustpan & Brush LP001,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000041,,,,WP,WAPZ,Murfs Cotton Squares Dove Pk 80 CB121,EACH,RSEA,0,0,S,O,,,0,0,0,0
1000042,,,,WP,WJCO,Murfs Aluminium Foil 44cm x 150m AF150,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000043,,,,WP,WJOZ,Toilet Brush & Holder Toilet Brush Set Basic TB001 SAB26004,EACH,RSEA,0,0,S,O,,,0,0,0,0
1000044,,,,WP,WJCO,Wooden Stirers Stirrers Wooden Pack 1000 WST & WS001,EACH,RSEA,2,2,S,C,,,0,2,0,0
1000045,,,,WP,WJCF,Murfs Coffee Vittoria Espresso 1kg CO100,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000046,,,,WP,WJHZ,Murfs Disinfectant Blue Mist 25L BM025,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000047,,,,WP,WJMZ,Murfs Tap for 25L Drum TP025 CCTD,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000048,,,,WP,WJCO,Murfs Garbage Bags Indoor 36L Cnt 1000 White BL036 WA36,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000049,,,,WP,WJHZ,Murfs Dishwashing Detergent 5L Ultrasoft Concentrate US005,EACH,RSEA,1,1,S,A,,,0,1,0,0
100005,,,,WP,WGAZ,***NLA*** Bardwell At Ease  Sponge Cote Burgundy Safety Mat AT3X5,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000051,,,,WP,WJPZ,Hand Towel 0-2266 PT024 Hand Towel Interleaved 24x24cm Pk150 x 16 Ctn,EACH,QUETIS,0,0,S,O,,,0,0,0,0
1000052,,,,WP,WJPZ,Toilet Paper Toilet Paper ABC Deluxe 2 Ply 400 sheet 48 Rolls Per Slab,EACH,QUETIS,0,0,S,O,,,0,0,0,0
1000053,,,,WP,WJPZ,Murfs Toilet Paper Kleenex Luxury 400 sheet roll ctn/48 TP430,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000054,,,,WP,WJCF,Campells Coffee Nescafe Food Service Blend 1Kg Each CO230,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000055,,,,WP,WJCO,Bin Liner Bin Liner Heavy Duty 73L Carton 250 BL073,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000056,,,,WP,WJHZ,Murfs Glass Cleaner Windex 500ml WC500,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000057,,,,WP,WABZ,Murfs Band Aids Fabric Strip 50 Box BA050,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000058,,,,WP,WJOZ,Murfs Broom Deluxe Vinyl Kitchen Soft Bristle 300mm BR300,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000059,,,,WP,WJOZ,**NLA** Murfs Brush & Dustpan Set Standard Complete DP105,EACH,MURFS,0,0,S,O,,,0,0,0,0
100006,,,,WP,WGAZ,***NLA*** Bardwell Bevilled Edge Safety Mat Terra Cotta 900x900 BESM3X3,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000060,,,,WP,WJDT,Murfs Dispenser Toilet Roll Holder Metal DS014,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000061,,,,WP,WJPZ,Total Bus. Supplies 8pk Toilet Paper Jumbo 2 Ply 90mmx250M Pk 8 TP251,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000062,,,,WP,WJOZ,Murfs Broom Soft Bristle 600mm Complete BR600,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000063,,,,WP,WJCO,Murfs Bags Garbage 120L BL120 Box 250,EACH,DRAEGER,2,2,S,A,,,0,2,0,0
1000064,,,,WP,WJMZ,Murfs Pump For 5L Bottle PU005,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000065,,,,WP,WJMZ,Murfs 44 Gallon Drum Metal With Sealable Lid DR044,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000066,,,,WP,WJHZ,Murfs Spray & Wipe 25L SP025,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000068,,,,WP,WJOZ,Murfs Broom Soft Bristle Complete 450mm BR450,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000069,,,,WP,WJOZ,Murfs Boot Cleaning Brush System BS600,EACH,RSEA,0,0,S,A,,,0,0,0,0
100007,,,,WP,WGAZ,***NLA*** Bardwell Bevilled Edge Safety Mat Terra Cotta BESM3X5,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000070,,,,WP,WJCF,Murfs Coffee Nescafe Blend 43 Plastic Jar 250g CO250,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000071,,,,WP,WJHZ,Murfs Dishwashing Liquid Morning Fresh 900ml MF001,EACH,MORNFRESH,0,0,S,O,,,0,0,0,0
1000072,,,,WP,WJHZ,Murfs Bleach 25L BS025,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000073,,,,WP,WJCO,BL027 DBTM Bin Liner 27L White Ctn 1000,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000074,,,,WP,WJHZ,Murfs Dishwasher Powder Auto Concentrate 5kg AD005,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000075,,,,WP,WJHZ,Murfs Nappy Wash 5 kg NW045,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000076,,,,WP,WJDH,Murfs Dispenser Hand Towel PT024 24x24 White Poly DS018,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000077,,,,WP,WJOZ,Murfs Broom Hard Bristle 600mm Complete BR600 HARD,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000078,,,,WP,WHCZ,Smorgan Plastic Film Black 2 x 50m FB2250,EACH,SMOARC,0,0,S,O,,,0,0,0,0
1000079,,,,WP,WJCF,Total Business Supplies Coffee Nescafe Blend43 500gm CO435,EACH,RSEA,27,27,S,O,,9300605003552,0,27,0,0
100008,,,,WP,WGAZ,***NLA*** Bardwell Bevilled Edge Safety Mat Terra Cotta  BESM3X10,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000080,,,,WP,WJPZ,Toilet Paper 2 Ply 400 Sheet PACK 4 Rolls,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000081,,,,WP,WJHZ,Murfs Ajax Powder 500g AJ500,EACH,MURFS,0,0,S,O,,9300632072453,0,0,0,0
1000083,,,,WP,WJHZ,Murfs Toilet Cleaner 5L  TB005,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000084,,,,WP,WJCO,Murfs Ratsak 350gm RS350,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000085,,,,WP,WJOZ,Murfs Brush Bannister Coco Filled BR009,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000086,,,,WP,WJDH,Murfs Dispenser Handtowel Interleaved for 265x240 Towel Metal DS019,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000087,,,,WP,WJDH,Murfs Dispenser Hand Towel Roll Lockable DS008,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000088,,,,WP,WJCF,Murfs Milo Nestle 1.5kg MI015,EACH,NESTLE,1,1,S,O,,9300605004993,0,1,0,0
1000089,,,,WP,WJCO,Murfs Bin Liner 36Ltr BL036 Bx 1000,EACH,MURFS,0,0,S,O,,,0,0,0,0
100009,,,,WP,WGAZ,Bardwell Safety Matting Bevilled Edge Safety Mat Black BESM3X3BK,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000090,,,,WP,WJCO,Murfs Bin Liner 80Ltr BL080 Bx 250,EACH,DRAEGER,0,0,S,A,,,0,0,0,0
1000092,,,,WP,WJDT,Murfs Toilet Paper Roll Holder Metal DS001,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000093,,,,WP,WJPZ,Toilet Paper Jumbo Toilet Paper 90mmx300m 3/GEN2J300 8 Rolls,EACH,QUETIS,0,0,S,O,,,0,0,0,0
1000094,,,,WP,WJWZ,Murfs Suprega Blackbox Worplace Wipes Pk150 DE200,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000095,,,,WP,WJPZ,Toilet Paper Quilton 3 PLy Scented Roll 200 Sheets 0-3200 Pk 48 Rolls,EACH,QUETIS,0,0,S,O,,,0,0,0,0
1000096,,,,WP,WJPZ,Kleenex Towel Compact White 90 Towels Per Pack 4440,EACH,AMARE,0,0,S,A,,,0,0,0,0
1000097,,,,WP,WJDM,Murfs Coffee Dispenser Controller Replacement Part CD301,EACH,RSEA,0,0,S,A,,,0,0,0,0
1000098,,,,WP,WJMZ,Murfs Air Freshener 200g AF125,EACH,MURFS,0,0,S,A,,,0,0,0,0
1000099,,,,WP,WJCO,Murfs Longlife Milk 2Ltr,EACH,RSEA,0,0,S,A,,,0,0,0,0
100010,,,,WP,WGAZ,Bardwell Safety Matting Bevilled Edge Safety Mat Black BESM3X5BK,EACH,BARDWELL,0,0,S,O,,,0,0,0,0
1000102,,,,WP,WJCF,Coffee Moccona Classic Freeze Dry 500g TSIMISCM500,EACH,CAMPBELLS,0,0,S,O,,,0,0,0,0
1000103,,,,WP,WJBZ,Waste bin Waste Bin Plastic Black 7 Litre BIN7L,EACH,OFFWOR,0,0,S,O,,,0,0,0,0
1000104,,,,WP,WJHZ,Ajax Spray & Wipe 500ml,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000106,,,,WP,WJCO,Kitchen Tidy Bags Large 36L Pack 50 TSIHYKTBL,EACH,OATES,0,0,S,O,,,0,0,0,0
1000107,,,,WP,WJDC,Murfs Deb Skin Safety Centre 3 Dispenser SSCSML1,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000109,,,,WP,WJMZ,Spray Bottle Only General Purpose Longneck White 750ml Bottle,EACH,OATES,0,0,S,O,,,0,0,0,0
100011,,,,WP,WGAZ,Bardwell Safety Matting Anti Static King 900mmx600mm Grey SKR3,EACH,BARDWELL,0,0,S,A,,,0,0,0,0
1000110,,,,WP,WJMZ,Trigger Only Standard For Longneck Bottle Blue TriggerBlue,EACH,OATES,0,0,S,O,,,0,0,0,0
1000111,,,,WP,WJMZ,Kit Spray Bottle Longneck & Spray Trigger White Blue,EACH,,0,0,K,,,,0,0,0,0
1000112,,,,WP,WJHZ,Murfs Glen 20 Spray 300g GT021,EACH,MURFS,0,0,S,O,,,0,0,0,0
1000113,,,,WP,WJOZ,Brush Bannister Brush 727490,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000114,,,,WP,WJHZ,Garrards Wasp Freeze 500g WASP,EACH,GARRADS,0,0,S,O,,9324423000159,0,0,0,0
1000115,,,,WP,WJCO,Campbells Cash & Carry Cup Double Wall 280ml Pk 25 79169,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000116,,,,WP,WJCO,Campbells Cash & Carry Cup Double Wall 335ml Pk 25 79101,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000117,,,,WP,WJCO,Campbells Cash & Carry Sipping Lids Pack 100 309132,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000118,,,,WP,WJCF,Campbells Cash & Carry Moccona Sachets Box 1000  313843,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
1000119,,,,WP,WJCF,Campbells Cash & Carry Snap Lock Bags Pack 10 Large 6535,EACH,CAMMAC,0,0,S,O,,,0,0,0,0
100012,,,,WP,WCCO,OzCarry PVC Document Holder 390x400mm Portrait - DOCPP,EACH,THOMBROT,0,0,S,A,,,0,0,0,0
